"ndex","name","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","form","lbs","kg","lightest","heaveiest","MegaOrPrimal","ft","m","inch","smallest","bigest"
140,"Kabuto",NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,NA,25.4,11.5,337,845,NA,"1'08""",0.5,20,216,986
141,"Kabutops",NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,NA,89.3,40.5,699,483,NA,"4'03""",1.3,51,740,462
142,"Aerodactyl",NA,"Rock","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,130.1,59,810,372,NA,"5'11""",1.8,71,965,237
142,"Aerodactyl",NA,"Rock","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,174.2,79,888,294,"Mega","6'11""",2.1,83,1058,144
143,"Snorlax",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,1014.1,460,1151,31,NA,"6'11""",2.1,83,1059,143
144,"Articuno",NA,"Ice","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios",NA,122.1,55.4,787,395,NA,"5'07""",1.7,67,937,265
144,"Articuno","Galarian Form","Psychic","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Zapdos",NA,"Electric","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios",NA,116,52.6,772,410,NA,"5'03""",1.6,63,889,313
145,"Zapdos","Galarian Form","Fighting","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"Moltres",NA,"Fire","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios",NA,132.3,60,816,366,NA,"6'07""",2,79,1031,171
146,"Moltres","Galarian Form","Dark","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,"Dratini",NA,"Dragon",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,7.3,3.3,120,1062,NA,"5'11""",1.8,71,966,236
148,"Dragonair",NA,"Dragon",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,36.4,16.5,423,759,NA,"13'01""",4,157,1164,38
149,"Dragonite",NA,"Dragon","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,463,210,1076,106,NA,"7'03""",2.2,87,1076,126
150,"Mewtwo",NA,"Psychic",NA,1,TRUE,FALSE,FALSE,"Mew duo","duos",NA,269,122,1010,172,NA,"6'07""",2,79,1033,169
151,"Mew",NA,"Psychic",NA,1,FALSE,TRUE,FALSE,"Mew duo","duos",NA,8.8,4,147,1035,NA,"1'04""",0.4,16,135,1067
152,"Chikorita",NA,"Grass",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,14.1,6.4,216,966,NA,"2'11""",0.9,35,498,704
153,"Bayleef",NA,"Grass",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,34.8,15.8,411,771,NA,"3'11""",1.2,47,667,535
154,"Meganium",NA,"Grass",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,"Cyndaquil",NA,"Fire",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,17.4,7.9,257,925,NA,"1'08""",0.5,20,217,985
156,"Quilava",NA,"Fire",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,41.9,19,450,732,NA,"2'11""",0.9,35,499,703
157,"Typhlosion",NA,"Fire",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,175.3,79.5,890,292,NA,"5'07""",1.7,67,939,263
157,"Typhlosion","Hisuian Form","Fire","Ghost",2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"Totodile",NA,"Water",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,20.9,9.5,298,884,NA,"2'00""",0.6,24,295,907
159,"Croconaw",NA,"Water",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,55.1,25,528,654,NA,"3'07""",1.1,43,620,582
160,"Feraligatr",NA,"Water",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,195.8,88.8,925,257,NA,"7'07""",2.3,91,1088,114
161,"Sentret",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,13.2,6,205,977,NA,"2'07""",0.8,31,450,752
162,"Furret",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,71.7,32.5,612,570,NA,"5'11""",1.8,71,968,234
163,"Hoothoot",NA,"Normal","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,46.7,21.2,489,693,NA,"2'04""",0.7,28,391,811
164,"Noctowl",NA,"Normal","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,89.9,40.8,702,480,NA,"5'03""",1.6,63,892,310
165,"Ledyba",NA,"Bug","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,23.8,10.8,324,858,NA,"3'03""",1,39,556,646
166,"Ledian",NA,"Bug","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,78.5,35.6,651,531,NA,"4'07""",1.4,55,786,416
167,"Spinarak",NA,"Bug","Poison",2,FALSE,FALSE,FALSE,NA,NA,NA,18.7,8.5,273,909,NA,"1'08""",0.5,20,218,984
168,"Ariados",NA,"Bug","Poison",2,FALSE,FALSE,FALSE,NA,NA,NA,73.9,33.5,629,553,NA,"3'07""",1.1,43,621,581
169,"Crobat",NA,"Poison","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,165.3,75,874,308,NA,"5'11""",1.8,71,969,233
170,"Chinchou",NA,"Water","Electric",2,FALSE,FALSE,FALSE,NA,NA,NA,26.5,12,349,833,NA,"1'08""",0.5,20,219,983
171,"Lanturn",NA,"Water","Electric",2,FALSE,FALSE,FALSE,NA,NA,NA,49.6,22.5,503,679,NA,"3'11""",1.2,47,668,534
172,"Pichu",NA,"Electric",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,4.4,2,78,1104,NA,"1'00""",0.3,12,50,1152
173,"Cleffa",NA,"Fairy",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,6.6,3,110,1072,NA,"1'00""",0.3,12,51,1151
174,"Igglybuff",NA,"Normal","Fairy",2,FALSE,FALSE,FALSE,NA,NA,NA,2.2,1,39,1143,NA,"1'00""",0.3,12,52,1150
175,"Togepi",NA,"Fairy",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,3.3,1.5,60,1122,NA,"1'00""",0.3,12,53,1149
176,"Togetic",NA,"Fairy","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,7.1,3.2,118,1064,NA,"2'00""",0.6,24,296,906
177,"Natu",NA,"Psychic","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,4.4,2,79,1103,NA,"0'08""",0.2,8,11,1191
178,"Xatu",NA,"Psychic","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,396,786,NA,"4'11""",1.5,59,831,371
179,"Mareep",NA,"Electric",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,17.2,7.8,255,927,NA,"2'00""",0.6,24,297,905
180,"Flaaffy",NA,"Electric",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,29.3,13.3,375,807,NA,"2'07""",0.8,31,451,751
181,"Ampharos",NA,"Electric",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,135.6,61.5,836,346,NA,"4'07""",1.4,55,787,415
182,"Bellossom",NA,"Grass",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,12.8,5.8,198,984,NA,"1'04""",0.4,16,136,1066
183,"Marill",NA,"Water","Fairy",2,FALSE,FALSE,FALSE,NA,NA,NA,18.7,8.5,274,908,NA,"1'04""",0.4,16,137,1065
184,"Azumarill",NA,"Water","Fairy",2,FALSE,FALSE,FALSE,NA,NA,NA,62.8,28.5,564,618,NA,"2'07""",0.8,31,452,750
185,"Sudowoodo",NA,"Rock",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,83.8,38,664,518,NA,"3'11""",1.2,47,669,533
186,"Politoed",NA,"Water",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,74.7,33.9,633,549,NA,"3'07""",1.1,43,622,580
187,"Hoppip",NA,"Grass","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,1.1,0.5,22,1160,NA,"1'04""",0.4,16,138,1064
188,"Skiploom",NA,"Grass","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,2.2,1,40,1142,NA,"2'00""",0.6,24,298,904
189,"Jumpluff",NA,"Grass","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,6.6,3,111,1071,NA,"2'07""",0.8,31,453,749
190,"Aipom",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,25.4,11.5,338,844,NA,"2'07""",0.8,31,454,748
191,"Sunkern",NA,"Grass",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,4,1.8,70,1112,NA,"1'00""",0.3,12,54,1148
192,"Sunflora",NA,"Grass",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,18.7,8.5,275,907,NA,"2'07""",0.8,31,455,747
193,"Yanma",NA,"Bug","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,83.8,38,665,517,NA,"3'11""",1.2,47,670,532
194,"Wooper",NA,"Water","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,18.7,8.5,276,906,NA,"1'04""",0.4,16,139,1063
194,"Wooper","Paldean Form","Poison","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,"Quagsire",NA,"Water","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,165.3,75,875,307,NA,"4'07""",1.4,55,789,413
196,"Espeon",NA,"Psychic",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,58.4,26.5,542,640,NA,"2'11""",0.9,35,500,702
197,"Umbreon",NA,"Dark",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,59.5,27,544,638,NA,"3'03""",1,39,557,645
198,"Murkrow",NA,"Dark","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,4.6,2.1,86,1096,NA,"1'08""",0.5,20,220,982
199,"Slowking",NA,"Water","Psychic",2,FALSE,FALSE,FALSE,NA,NA,NA,175.3,79.5,891,291,NA,"6'07""",2,79,1034,168
199,"Slowking","Galarian Form","Poison","Psychic",2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Misdreavus",NA,"Ghost",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,2.2,1,41,1141,NA,"2'04""",0.7,28,392,810
201,"Unown",NA,"Psychic",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,11,5,172,1010,NA,"1'08""",0.5,20,221,981
202,"Wobbuffet",NA,"Psychic",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,62.8,28.5,565,617,NA,"4'03""",1.3,51,741,461
203,"Girafarig",NA,"Normal","Psychic",2,FALSE,FALSE,FALSE,NA,NA,NA,91.5,41.5,707,475,NA,"4'11""",1.5,59,832,370
204,"Pineco",NA,"Bug",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,15.9,7.2,240,942,NA,"2'00""",0.6,24,299,903
205,"Forretress",NA,"Bug","Steel",2,FALSE,FALSE,FALSE,NA,NA,NA,277.3,125.8,1013,169,NA,"3'11""",1.2,47,671,531
206,"Dunsparce",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,30.9,14,380,802,NA,"4'11""",1.5,59,833,369
207,"Gligar",NA,"Ground","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,142.9,64.8,847,335,NA,"3'07""",1.1,43,623,579
208,"Steelix",NA,"Steel","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,881.8,400,1146,36,NA,"30'02""",9.2,362,1192,10
208,"Steelix",NA,"Steel","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,1631.4,740,1166,16,"Mega","34'05""",10.5,413,1195,7
209,"Snubbull",NA,"Fairy",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,17.2,7.8,256,926,NA,"2'00""",0.6,24,300,902
210,"Granbull",NA,"Fairy",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,107.4,48.7,748,434,NA,"4'07""",1.4,55,790,412
211,"Qwilfish",NA,"Water","Poison",2,FALSE,FALSE,FALSE,NA,NA,NA,8.6,3.9,140,1042,NA,"1'08""",0.5,20,222,980
211,"Qwilfish","Hisuian Form","Dark","Poison",2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"Scizor",NA,"Bug","Steel",2,FALSE,FALSE,FALSE,NA,NA,NA,260.1,118,996,186,NA,"5'11""",1.8,71,971,231
212,"Scizor",NA,"Bug","Steel",2,FALSE,FALSE,FALSE,NA,NA,NA,275.6,125,1011,171,"Mega","6'07""",2,79,1035,167
213,"Shuckle",NA,"Bug","Rock",2,FALSE,FALSE,FALSE,NA,NA,NA,45.2,20.5,476,706,NA,"2'00""",0.6,24,301,901
214,"Heracross",NA,"Bug","Fighting",2,FALSE,FALSE,FALSE,NA,NA,NA,119,54,776,406,NA,"4'11""",1.5,59,834,368
214,"Heracross",NA,"Bug","Fighting",2,FALSE,FALSE,FALSE,NA,NA,NA,137.8,62.5,843,339,"Mega","5'07""",1.7,67,940,262
215,"Sneasel",NA,"Dark","Ice",2,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,553,629,NA,"2'11""",0.9,35,501,701
215,"Sneasel","Hisuian Form","Fighting","Poison",2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,"Teddiursa",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,19.4,8.8,283,899,NA,"2'00""",0.6,24,302,900
217,"Ursaring",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,277.3,125.8,1014,168,NA,"5'11""",1.8,71,972,230
218,"Slugma",NA,"Fire",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,77.2,35,644,538,NA,"2'04""",0.7,28,393,809
219,"Magcargo",NA,"Fire","Rock",2,FALSE,FALSE,FALSE,NA,NA,NA,121.3,55,783,399,NA,"2'07""",0.8,31,456,746
220,"Swinub",NA,"Ice","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,14.3,6.5,220,962,NA,"1'04""",0.4,16,141,1061
221,"Piloswine",NA,"Ice","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,123,55.8,791,391,NA,"3'07""",1.1,43,624,578
222,"Corsola",NA,"Water","Rock",2,FALSE,FALSE,FALSE,NA,NA,NA,11,5,173,1009,NA,"2'00""",0.6,24,303,899
222,"Corsola","Galarian Form","Ghost",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,"Remoraid",NA,"Water",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,26.5,12,350,832,NA,"2'00""",0.6,24,305,897
224,"Octillery",NA,"Water",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,62.8,28.5,566,616,NA,"2'11""",0.9,35,503,699
225,"Delibird",NA,"Ice","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,35.3,16,413,769,NA,"2'11""",0.9,35,504,698
226,"Mantine",NA,"Water","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,485,220,1086,96,NA,"6'11""",2.1,83,1060,142
227,"Skarmory",NA,"Steel","Flying",2,FALSE,FALSE,FALSE,NA,NA,NA,111.3,50.5,757,425,NA,"5'07""",1.7,67,941,261
228,"Houndour",NA,"Dark","Fire",2,FALSE,FALSE,FALSE,NA,NA,NA,23.8,10.8,325,857,NA,"2'00""",0.6,24,306,896
229,"Houndoom",NA,"Dark","Fire",2,FALSE,FALSE,FALSE,NA,NA,NA,77.2,35,645,537,NA,"4'07""",1.4,55,791,411
229,"Houndoom",NA,"Dark","Fire",2,FALSE,FALSE,FALSE,NA,NA,NA,109.1,49.5,750,432,"Mega","6'03""",1.9,75,1004,198
230,"Kingdra",NA,"Water","Dragon",2,FALSE,FALSE,FALSE,NA,NA,NA,335.1,152,1038,144,NA,"5'11""",1.8,71,973,229
231,"Phanpy",NA,"Ground",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,73.9,33.5,630,552,NA,"1'08""",0.5,20,224,978
232,"Donphan",NA,"Ground",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,264.6,120,1001,181,NA,"3'07""",1.1,43,625,577
233,"Porygon2",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,71.7,32.5,613,569,NA,"2'00""",0.6,24,307,895
234,"Stantler",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,157,71.2,869,313,NA,"4'07""",1.4,55,792,410
235,"Smeargle",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,127.9,58,801,381,NA,"3'11""",1.2,47,672,530
236,"Tyrogue",NA,"Fighting",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,46.3,21,485,697,NA,"2'04""",0.7,28,394,808
237,"Hitmontop",NA,"Fighting",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,105.8,48,743,439,NA,"4'07""",1.4,55,793,409
238,"Smoochum",NA,"Ice","Psychic",2,FALSE,FALSE,FALSE,NA,NA,NA,13.2,6,206,976,NA,"1'04""",0.4,16,142,1060
239,"Elekid",NA,"Electric",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,51.8,23.5,511,671,NA,"2'00""",0.6,24,308,894
240,"Magby",NA,"Fire",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,47.2,21.4,491,691,NA,"2'04""",0.7,28,395,807
241,"Miltank",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,166.4,75.5,877,305,NA,"3'11""",1.2,47,673,529
242,"Blissey",NA,"Normal",NA,2,FALSE,FALSE,FALSE,NA,NA,NA,103.2,46.8,737,445,NA,"4'11""",1.5,59,835,367
243,"Raikou",NA,"Electric",NA,2,TRUE,FALSE,FALSE,"Legendary beasts","trios",NA,392.4,178,1054,128,NA,"6'03""",1.9,75,1005,197
244,"Entei",NA,"Fire",NA,2,TRUE,FALSE,FALSE,"Legendary beasts","trios",NA,436.5,198,1063,119,NA,"6'11""",2.1,83,1061,141
245,"Suicune",NA,"Water",NA,2,TRUE,FALSE,FALSE,"Legendary beasts","trios",NA,412.3,187,1059,123,NA,"6'07""",2,79,1036,166
246,"Larvitar",NA,"Rock","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,158.7,72,871,311,NA,"2'00""",0.6,24,309,893
247,"Pupitar",NA,"Rock","Ground",2,FALSE,FALSE,FALSE,NA,NA,NA,335.1,152,1039,143,NA,"3'11""",1.2,47,674,528
248,"Tyranitar",NA,"Rock","Dark",2,FALSE,FALSE,FALSE,NA,NA,NA,445.3,202,1069,113,NA,"6'07""",2,79,1037,165
248,"Tyranitar",NA,"Rock","Dark",2,FALSE,FALSE,FALSE,NA,NA,NA,562.2,255,1102,80,"Mega","8'02""",2.5,98,1104,98
249,"Lugia",NA,"Psychic","Flying",2,TRUE,FALSE,FALSE,"Tower duo","duos",NA,476.2,216,1083,99,NA,"17'01""",5.2,205,1175,27
250,"Ho-Oh",NA,"Fire","Flying",2,TRUE,FALSE,FALSE,"Tower duo","duos",NA,438.7,199,1064,118,NA,"12'06""",3.8,150,1159,43
251,"Celebi",NA,"Psychic","Grass",2,FALSE,TRUE,FALSE,NA,NA,NA,11,5,174,1008,NA,"2'00""",0.6,24,310,892
252,"Treecko",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,11,5,175,1007,NA,"1'08""",0.5,20,225,977
253,"Grovyle",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,47.6,21.6,496,686,NA,"2'11""",0.9,35,505,697
254,"Sceptile",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,115.1,52.2,769,413,NA,"5'07""",1.7,67,942,260
254,"Sceptile",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,121.7,55.2,786,396,"Mega","6'03""",1.9,75,1006,196
255,"Torchic",NA,"Fire",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,5.5,2.5,99,1083,NA,"1'04""",0.4,16,143,1059
256,"Combusken",NA,"Fire","Fighting",3,FALSE,FALSE,FALSE,NA,NA,NA,43,19.5,457,725,NA,"2'11""",0.9,35,506,696
257,"Blaziken",NA,"Fire","Fighting",3,FALSE,FALSE,FALSE,NA,NA,NA,114.6,52,766,416,NA,"6'03""",1.9,75,1007,195
258,"Mudkip",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,16.8,7.6,251,931,NA,"1'04""",0.4,16,144,1058
259,"Marshtomp",NA,"Water","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,554,628,NA,"2'04""",0.7,28,396,806
260,"Swampert",NA,"Water","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,180.6,81.9,907,275,NA,"4'11""",1.5,59,836,366
260,"Swampert",NA,"Water","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,224.9,102,964,218,"Mega","6'03""",1.9,75,1009,193
261,"Poochyena",NA,"Dark",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,30,13.6,379,803,NA,"1'08""",0.5,20,226,976
262,"Mightyena",NA,"Dark",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,81.6,37,658,524,NA,"3'03""",1,39,558,644
263,"Zigzagoon",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,38.6,17.5,431,751,NA,"1'04""",0.4,16,145,1057
263,"Zigzagoon","Galarian Form","Dark","Normal",3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,"Linoone",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,71.7,32.5,614,568,NA,"1'08""",0.5,20,227,975
264,"Linoone","Galarian Form","Dark","Normal",3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,"Wurmple",NA,"Bug",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,7.9,3.6,135,1047,NA,"1'00""",0.3,12,55,1147
266,"Silcoon",NA,"Bug",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,22,10,310,872,NA,"2'00""",0.6,24,311,891
267,"Beautifly",NA,"Bug","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,62.6,28.4,563,619,NA,"3'03""",1,39,559,643
268,"Cascoon",NA,"Bug",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,25.4,11.5,339,843,NA,"2'04""",0.7,28,397,805
269,"Dustox",NA,"Bug","Poison",3,FALSE,FALSE,FALSE,NA,NA,NA,69.7,31.6,604,578,NA,"3'11""",1.2,47,675,527
270,"Lotad",NA,"Water","Grass",3,FALSE,FALSE,FALSE,NA,NA,NA,5.7,2.6,105,1077,NA,"1'08""",0.5,20,229,973
271,"Lombre",NA,"Water","Grass",3,FALSE,FALSE,FALSE,NA,NA,NA,71.7,32.5,616,566,NA,"3'11""",1.2,47,676,526
272,"Ludicolo",NA,"Water","Grass",3,FALSE,FALSE,FALSE,NA,NA,NA,121.3,55,784,398,NA,"4'11""",1.5,59,837,365
273,"Seedot",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,8.8,4,148,1034,NA,"1'08""",0.5,20,230,972
274,"Nuzleaf",NA,"Grass","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,555,627,NA,"3'03""",1,39,560,642
275,"Shiftry",NA,"Grass","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,131.4,59.6,812,370,NA,"4'03""",1.3,51,742,460
276,"Taillow",NA,"Normal","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,5.1,2.3,94,1088,NA,"1'00""",0.3,12,56,1146
277,"Swellow",NA,"Normal","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,43.7,19.8,461,721,NA,"2'04""",0.7,28,398,804
278,"Wingull",NA,"Water","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,20.9,9.5,299,883,NA,"2'00""",0.6,24,312,890
279,"Pelipper",NA,"Water","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,61.7,28,556,626,NA,"3'11""",1.2,47,677,525
280,"Ralts",NA,"Psychic","Fairy",3,FALSE,FALSE,FALSE,NA,NA,NA,14.6,6.6,229,953,NA,"1'04""",0.4,16,147,1055
281,"Kirlia",NA,"Psychic","Fairy",3,FALSE,FALSE,FALSE,NA,NA,NA,44.5,20.2,472,710,NA,"2'07""",0.8,31,457,745
282,"Gardevoir",NA,"Psychic","Fairy",3,FALSE,FALSE,FALSE,NA,NA,NA,106.7,48.4,746,436,NA,"5'03""",1.6,63,893,309
283,"Surskit",NA,"Bug","Water",3,FALSE,FALSE,FALSE,NA,NA,NA,3.7,1.7,67,1115,NA,"1'08""",0.5,20,231,971
284,"Masquerain",NA,"Bug","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,7.9,3.6,136,1046,NA,"2'07""",0.8,31,458,744
285,"Shroomish",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,9.9,4.5,165,1017,NA,"1'04""",0.4,16,148,1054
286,"Breloom",NA,"Grass","Fighting",3,FALSE,FALSE,FALSE,NA,NA,NA,86.4,39.2,675,507,NA,"3'11""",1.2,47,678,524
287,"Slakoth",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,52.9,24,517,665,NA,"2'07""",0.8,31,459,743
288,"Vigoroth",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,102.5,46.5,736,446,NA,"4'07""",1.4,55,794,408
289,"Slaking",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,287.7,130.5,1020,162,NA,"6'07""",2,79,1038,164
290,"Nincada",NA,"Bug","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,12.1,5.5,191,991,NA,"1'08""",0.5,20,232,970
291,"Ninjask",NA,"Bug","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,26.5,12,351,831,NA,"2'07""",0.8,31,460,742
292,"Shedinja",NA,"Bug","Ghost",3,FALSE,FALSE,FALSE,NA,NA,NA,2.6,1.2,53,1129,NA,"2'07""",0.8,31,461,741
293,"Whismur",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,35.9,16.3,421,761,NA,"2'00""",0.6,24,313,889
294,"Loudred",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,89.3,40.5,700,482,NA,"3'03""",1,39,561,641
295,"Exploud",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,185.2,84,913,269,NA,"4'11""",1.5,59,838,364
296,"Makuhita",NA,"Fighting",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,190.5,86.4,921,261,NA,"3'03""",1,39,562,640
297,"Hariyama",NA,"Fighting",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,559.5,253.8,1101,81,NA,"7'07""",2.3,91,1089,113
298,"Azurill",NA,"Normal","Fairy",3,FALSE,FALSE,FALSE,NA,NA,NA,4.4,2,80,1102,NA,"0'08""",0.2,8,12,1190
299,"Nosepass",NA,"Rock",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,213.8,97,950,232,NA,"3'03""",1,39,563,639
