"ndex","name","form","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","Japanese_Kana","Japanese_Hepburn","Japanese_Trademarked","German","French","Spanish","Italian","Korean_Hangul","Korean_Revised","Korean_McCune-Reischauer","Korean_Official","Chinese_Traditional","Chinese_Simplified","Chinese_Pinyin","Chinese_Yale","Chinese_Former_names","Brazilian_Portuguese","Turkish","Russian_Cyrillic","Russian_Romanization","Thai","Thai_RTGS","Hindi_Devanagari","Hindi_Transliteration","Hindi_Romanization"
101,"Electrode",NA,NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,"マルマイン","Marumain","Marumine[v]","Lektrobal","Électrode",NA,NA,"붐볼","Bumbol","Pumbol","Boomball","頑皮雷彈","顽皮雷弹","Wánpíléidàn","Wàahnpèihlèuidáan","頑皮彈 / 顽皮弹 Wánpídàn (TW/CN)雷霆蛋 Lèuihtìhngdáan (HK)",NA,NA,"Электрод","Elektrod","มารุมายน์","Marumai","इलेक्ट्रोड","Ilekṭroḍ","Electrode"
102,"Exeggcute",NA,NA,"Grass","Psychic",1,FALSE,FALSE,FALSE,NA,NA,"タマタマ","Tamatama","Tamatama","Owei","Noeunoeuf",NA,NA,"아라리","Arari","Arari","Arari","蛋蛋","蛋蛋","Dàndàn","Dàahndáan","-",NA,NA,"Эксегкьют","Eksegk'yut","ทามะทามะ","Thamathama","एगोला","Egolā","Eggola"
103,"Exeggutor",NA,"Alolan Form","Grass","Dragon",1,FALSE,FALSE,FALSE,NA,NA,"ナッシー","Nasshī","Nassy[w]","Kokowei","Noadkoko",NA,NA,"나시","Nasi","Nasi","Nasi","椰蛋樹","椰蛋树","YédànshùYēdànshù","Yèhdáansyuh","椰樹獸 Yèhsyuhsau (HK)",NA,NA,"Экзегкьютор","Ekzegk'yutor","นัชชี","Natchi","नारियोला","Nāriyolā","Nariyola"
103,"Exeggutor",NA,NA,"Grass","Psychic",1,FALSE,FALSE,FALSE,NA,NA,"ナッシー","Nasshī","Nassy[w]","Kokowei","Noadkoko",NA,NA,"나시","Nasi","Nasi","Nasi","椰蛋樹","椰蛋树","YédànshùYēdànshù","Yèhdáansyuh","椰樹獸 Yèhsyuhsau (HK)",NA,NA,"Экзегкьютор","Ekzegk'yutor","นัชชี","Natchi","नारियोला","Nāriyolā","Nariyola"
104,"Cubone",NA,NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,"カラカラ","Karakara","Karakara","Tragosso","Osselait",NA,NA,"탕구리","Tangguri","T'angguri","Tangguri","卡拉卡拉","卡拉卡拉","Kǎlākǎlā","Kālāaikālāai","可拉可拉 Kělākělā (TW/CN)",NA,NA,"Кьюбон","K'yubon","คาระคาระ","Kharakhara","क्यूबोन","Kyūbon","Cubone"
105,"Marowak",NA,"Alolan Form","Fire","Ghost",1,FALSE,FALSE,FALSE,NA,NA,"ガラガラ","Garagara","Garagara","Knogga","Ossatueur",NA,NA,"텅구리","Teongguri","T'ŏngguri","Teongguri","嘎啦嘎啦","嘎啦嘎啦","Gālagāla","Gālāaigālāai","嘎拉嘎拉 Gālāgālā (TW/CN)格拉格拉 Gaaklāaigaaklāai (HK)",NA,NA,"Маровак","Marovak","การะการะ","Karakara","मैरोवैक","Mairovaik","Marowak"
105,"Marowak",NA,NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,"ガラガラ","Garagara","Garagara","Knogga","Ossatueur",NA,NA,"텅구리","Teongguri","T'ŏngguri","Teongguri","嘎啦嘎啦","嘎啦嘎啦","Gālagāla","Gālāaigālāai","嘎拉嘎拉 Gālāgālā (TW/CN)格拉格拉 Gaaklāaigaaklāai (HK)",NA,NA,"Маровак","Marovak","การะการะ","Karakara","मैरोवैक","Mairovaik","Marowak"
106,"Hitmonlee",NA,NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,"サワムラー","Sawamurā","Sawamular","Kicklee","Kicklee",NA,NA,"시라소몬","Sirasomon","Sirasomon","Sirasomon","飛腿郎","飞腿郎","Fēituǐláng","Fēitéuilòhng","沙瓦郎 Shāwǎláng (TW/CN)沙古拉 Sāgúlāai (HK)",NA,NA,"Хитмонли","Khitmonli","ซาวามูลาร์","Sawamula","किकाटैक","Kikāṭaik","Kickattack"
107,"Hitmonchan",NA,NA,"Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,"エビワラー","Ebiwarā","Ebiwalar","Nockchan","Tygnon",NA,NA,"홍수몬","Hongsumon","Hongsumon","Hongsoomon","快拳郎","快拳郎","Kuàiquánláng","Faaikyùhnlòhng","艾比郎 Àibǐláng (TW/CN)比華拉 Béiwàhlāai (HK)",NA,NA,"Хитмончан","Khitmonchan","เอบิวาลาร์","Ebiwala","मुक्काटैक","Mukkāṭaik","Mukkattack"
108,"Lickitung",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ベロリンガ","Beroringa","Beroringa","Schlurp","Excelangue",NA,NA,"내루미","Naerumi","Naerumi","Nerumi","大舌頭","大舌头","Dàshétóu","Daaihsittàuh","-",NA,NA,"Ликитанг","Likitang","เบโรรินกา","Berorinka","लिकिटंग","Likiṭaṅg","Lickitung"
109,"Koffing",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"ドガース","Dogāsu","Dogars","Smogon","Smogo",NA,NA,"또가스","Ttogaseu","Ttogasŭ","Ttogas","瓦斯彈","瓦斯弹","Wǎsīdàn","Ngáhsīdáan","毒氣丸 Duhkheiyún (HK)",NA,NA,"Коффинг","Koffing","โดกาซ","Dokat","कॉफ़िंग","Kŏfiṅg","Koffing"
110,"Weezing",NA,"Galarian Form","Poison","Fairy",1,FALSE,FALSE,FALSE,NA,NA,"マタドガス","Matadogasu","Matadogas[x]","Smogmog","Smogogo",NA,NA,"또도가스","Ttodogaseu","Ttodogasŭ","Ttodogas","雙彈瓦斯","双弹瓦斯","Shuāngdànwǎsī","Sēungdáanngáhsī","毒氣雙子 Duhkheisēungjí (HK)",NA,NA,"Визинг","Vizing","มาตาโดกัซ","Matadokat","वीज़िंग","Vīziṅg","Weezing"
110,"Weezing",NA,NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,"マタドガス","Matadogasu","Matadogas[x]","Smogmog","Smogogo",NA,NA,"또도가스","Ttodogaseu","Ttodogasŭ","Ttodogas","雙彈瓦斯","双弹瓦斯","Shuāngdànwǎsī","Sēungdáanngáhsī","毒氣雙子 Duhkheisēungjí (HK)",NA,NA,"Визинг","Vizing","มาตาโดกัซ","Matadokat","वीज़िंग","Vīziṅg","Weezing"
111,"Rhyhorn",NA,NA,"Ground","Rock",1,FALSE,FALSE,FALSE,NA,NA,"サイホーン","Saihōn","Sihorn[y]","Rihorn","Rhinocorne",NA,NA,"뿔카노","Ppulkano","Ppulk'ano","Ppulkano","獨角犀牛","独角犀牛","Dújiǎoxīniú","Duhkgoksāingàuh","鐵甲犀牛 / 铁甲犀牛 Tiějiǎxīniú (TW/CN)鐵甲犀牛 Titgaapsāingàuh (HK)",NA,NA,"Райхорн","Raykhorn","ไซฮอร์น","Saihon","राइहॉर्न","Rāihŏrn","Rhyhorn"
112,"Rhydon",NA,NA,"Ground","Rock",1,FALSE,FALSE,FALSE,NA,NA,"サイドン","Saidon","Sidon[z]","Rizeros","Rhinoféros",NA,NA,"코뿌리","Koppuri","K'oppuri","Koppuri","鑽角犀獸","钻角犀兽","Zuànjiǎoxīshòu","Jyungoksāisau","鐵甲暴龍 / 铁甲暴龙 Tiějiǎbàolóng (TW/CN)鐵甲暴龍 Titgaapbouhlùhng (HK)",NA,NA,"Райдон","Raydon","ไซดอน","Saidon","राइडॉन","Rāiḍŏn","Rhydon"
113,"Chansey",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ラッキー","Rakkī","Lucky","Chaneira","Leveinard",NA,NA,"럭키","Reokki","Rŏkk'i","Lucki","吉利蛋","吉利蛋","Jílìdàn","Gātleihdáan","-",NA,NA,"Ченси","Chensi","ลัคกี","Lakki","चैंसी","Cainsī","Chansey"
114,"Tangela",NA,NA,"Grass",NA,1,FALSE,FALSE,FALSE,NA,NA,"モンジャラ","Monjara","Monjara","Tangela","Saquedeneu",NA,NA,"덩쿠리","Deongkuri","Tŏngkuri","Deongkuri","蔓藤怪","蔓藤怪","Mànténgguài","Maahntàhnggwaai","長藤怪 Chèuhngtàhnggwaai (HK)",NA,NA,"Тангела","Tangela","มอนจารา","Monchara","उलझारा","Uljhārā","Uljhara"
115,"Kangaskhan",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ガルーラ","Garūra","Garura","Kangama","Kangourex",NA,NA,"캥카","Kaengka","K'aengk'a","Kengka","袋獸","袋兽","Dàishòu","Doihsau","袋龍 / 袋龙 Dàilóng (TW/CN)",NA,NA,"Кангасхан","Kangaskhan","การูรา","Karura","गारूरामॉन","Gārūrāmŏn","Garuramon"
116,"Horsea",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"タッツー","Tattsū","Tattu","Seeper","Hypotrempe",NA,NA,"쏘드라","Ssodeura","Ssodŭra","Ssodra","墨海馬","墨海马","Mòhǎimǎ","Mahkhóimáh","噴墨海馬 Panmahkhóimáh (HK)",NA,NA,"Хорси","Khorsi","ทัททู","Thatthu","हॉर्सी","Hŏrsī","Horsea"
117,"Seadra",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"シードラ","Shīdora","Seadra","Seemon","Hypocéan",NA,NA,"시드라","Sideura","Sidŭra","Seadra","海刺龍","海刺龙","Hǎicìlóng","Hóichilùhng","飛刺海馬 Fēichihóimáh (HK)",NA,NA,"Сидра","Sidra","ซีดรา","Sitra","सीड्रा","Sīḍrā","Seadra"
118,"Goldeen",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"トサキント","Tosakinto","Tosakinto","Goldini","Poissirène",NA,NA,"콘치","Konchi","K'onch'i","Konchi","角金魚","角金鱼","Jiǎojīnyú","Gokgāmyùh","獨角金魚 Duhkgokgāmyùh (HK)",NA,NA,"Голдин","Goldin","โทซาคินโตะ","Thosakhinto","गोल्डीन","Golḍīn","Goldeen"
119,"Seaking",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"アズマオウ","Azumaō","Azumao[aa]","Golking","Poissoroy",NA,NA,"왕콘치","Wangkonchi","Wangk'onch'i","Wangkonchi","金魚王","金鱼王","Jīnyúwáng","Gāmyùhwòhng","-",NA,NA,"Сикинг","Siking","อซึมาโอ","Asuemao","सीकिंग","Sīkiṅg","Seaking"
120,"Staryu",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"ヒトデマン","Hitodeman","Hitodeman","Sterndu","Stari",NA,NA,"별가사리","Byeolgasari","Pyŏlgasari","Byulgasari","海星星","海星星","Hǎixīngxīng","Hóisīngsīng","-",NA,NA,"Старью","Star'yu","ฮิโตเดมัน","Hitodeman","स्टारयू","Sṭāryū","Staryu"
121,"Starmie",NA,NA,"Water","Psychic",1,FALSE,FALSE,FALSE,NA,NA,"スターミー","Sutāmī","Starmie","Starmie","Staross",NA,NA,"아쿠스타","Akuseuta","Ak'usŭt'a","Akusta","寶石海星","宝石海星","Bǎoshíhǎixīng","Bóusehkhóisīng","-",NA,NA,"Старми","Starmi","สตาร์มี","Satami","स्टारमी","Sṭārmī","Starmie"
122,"Mr. Mime",NA,"Galarian Form","Ice","Psychic",1,FALSE,FALSE,FALSE,NA,NA,"バリヤード","Bariyādo","Barrierd","Pantimos","M. Mime",NA,NA,"마임맨","Maimmaen","Maimmaen","Maimman","魔牆人偶","魔墙人偶","Móqiángrénǒu","Mōchèuhngyàhnngáuh","吸盤魔偶 / 吸盘魔偶 Xīpánmó'ǒu (TW/CN)吸盤小丑 Kāppúnsíucháu (HK)",NA,NA,"Мистер Майм","Mister Maym","บาร์เรียด","Bariat","मिस्टर माइम","Misṭar Māim","Mister Mime"
122,"Mr. Mime",NA,NA,"Psychic","Fairy",1,FALSE,FALSE,FALSE,NA,NA,"バリヤード","Bariyādo","Barrierd","Pantimos","M. Mime",NA,NA,"마임맨","Maimmaen","Maimmaen","Maimman","魔牆人偶","魔墙人偶","Móqiángrénǒu","Mōchèuhngyàhnngáuh","吸盤魔偶 / 吸盘魔偶 Xīpánmó'ǒu (TW/CN)吸盤小丑 Kāppúnsíucháu (HK)",NA,NA,"Мистер Майм","Mister Maym","บาร์เรียด","Bariat","मिस्टर माइम","Misṭar Māim","Mister Mime"
123,"Scyther",NA,NA,"Bug","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ストライク","Sutoraiku","Strike","Sichlor","Insécateur",NA,NA,"스라크","Seurakeu","Sŭrak'ŭ","Srak","飛天螳螂","飞天螳螂","Fēitiāntángláng","Fēitīntòhnglòhng","-",NA,NA,"Скайтер","Skayter","สไตรค์","Sotrai","स्ट्राइकीट","Sṭrāikīṭ","Strikeet"
124,"Jynx",NA,NA,"Ice","Psychic",1,FALSE,FALSE,FALSE,NA,NA,"ルージュラ","Rūjura","Rougela","Rossana","Lippoutou",NA,NA,"루주라","Rujura","Rujura","Rujura","迷唇姐","迷唇姐","Míchúnjiě","Màihsèuhnjé","紅唇娃 Hùhngsèuhnwā (HK)",NA,NA,"Джинкс","Dzhinks","รูจูลา","Ruchula","लिपिलिप","Lipilip","Lipilip"
125,"Electabuzz",NA,NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,"エレブー","Erebū","Eleboo","Elektek","Élektek",NA,NA,"에레브","Erebeu","Erebŭ","Elev","電擊獸","电击兽","DiànjíshòuDiànjīshòu","Dihngīksau","-",NA,NA,"Электабазз","Elektabazz","เอเลบู","Elebu","इलेकटिक","Ilekṭik","Electic"
126,"Magmar",NA,NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,"ブーバー","Būbā","Boober","Magmar","Magmar",NA,NA,"마그마","Mageuma","Magŭma","Magmar","鴨嘴火獸","鸭嘴火兽","Yāzuǐhuǒshòu","Aapjéuifósau","鴨嘴火龍 / 鸭嘴火龙 Yāzuǐhuǒlóng (TW/CN)鴨嘴火龍 Aapjéuifólùhng (HK)",NA,NA,"Магмар","Magmar","บูเบอร์","Buboe","मैग्मार","Maigmār","Magmar"
127,"Pinsir",NA,NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,"カイロス","Kairosu","Kailios","Pinsir","Scarabrute",NA,NA,"쁘사이저","Ppeusaijeo","Ppŭsaijŏ","Ppeusaizeo","凱羅斯","凯罗斯","Kǎiluósī","Hóilòhsī","大甲 Dàjiǎ (TW/CN)鉗刀甲蟲 Kìhmdōugaapchùhng (HK)",NA,NA,"Пинсир","Pinsir","ไคลอส","Khailot","पिंसर","Pinsar","Pinsir"
128,"Tauros","Aqua Breed","Paldean Form","Fighting","Water",1,FALSE,FALSE,FALSE,NA,NA,"ケンタロス","Kentarosu","Kentauros","Tauros","Tauros",NA,NA,"켄타로스","Kentaroseu","K'ent'arosŭ","Kentaros","肯泰羅","肯泰罗","Kěntàiluó","Hángtaailòh","大隻牛 Daaihjekngàuh (HK)",NA,NA,"Таурос","Tauros","เคนเทารอส","Khenthaorot","टॉरोस","Ṭŏros","Tauros"
128,"Tauros","Blaze Breed","Paldean Form","Fighting","Fire",1,FALSE,FALSE,FALSE,NA,NA,"ケンタロス","Kentarosu","Kentauros","Tauros","Tauros",NA,NA,"켄타로스","Kentaroseu","K'ent'arosŭ","Kentaros","肯泰羅","肯泰罗","Kěntàiluó","Hángtaailòh","大隻牛 Daaihjekngàuh (HK)",NA,NA,"Таурос","Tauros","เคนเทารอส","Khenthaorot","टॉरोस","Ṭŏros","Tauros"
128,"Tauros","Combat Breed","Paldean Form","Fighting",NA,1,FALSE,FALSE,FALSE,NA,NA,"ケンタロス","Kentarosu","Kentauros","Tauros","Tauros",NA,NA,"켄타로스","Kentaroseu","K'ent'arosŭ","Kentaros","肯泰羅","肯泰罗","Kěntàiluó","Hángtaailòh","大隻牛 Daaihjekngàuh (HK)",NA,NA,"Таурос","Tauros","เคนเทารอส","Khenthaorot","टॉरोस","Ṭŏros","Tauros"
128,"Tauros",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ケンタロス","Kentarosu","Kentauros","Tauros","Tauros",NA,NA,"켄타로스","Kentaroseu","K'ent'arosŭ","Kentaros","肯泰羅","肯泰罗","Kěntàiluó","Hángtaailòh","大隻牛 Daaihjekngàuh (HK)",NA,NA,"Таурос","Tauros","เคนเทารอส","Khenthaorot","टॉरोस","Ṭŏros","Tauros"
129,"Magikarp",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"コイキング","Koikingu","Koiking","Karpador","Magicarpe",NA,NA,"잉어킹","Ingeoking","Ingŏk'ing","Ingeoking","鯉魚王","鲤鱼王","Lǐyúwáng","Léihyùhwòhng","-",NA,NA,"Мэджикарп","Medzhikarp","คอยคิง","Khoikhing","मैजिकार्प","Maijikārp","Magikarp"
130,"Gyarados",NA,NA,"Water","Flying",1,FALSE,FALSE,FALSE,NA,NA,"ギャラドス","Gyaradosu","Gyarados[ab]","Garados","Léviator",NA,NA,"갸라도스","Gyaradoseu","Kyaradosŭ","Gyarados","暴鯉龍","暴鲤龙","Bàolǐlóng","Bouhléihlùhng","鯉魚龍 Léihyùhlùhng (HK)",NA,NA,"Гиарадос","Giarados","เกียราดอส","Kiaradot","गैराडोस","Gairāḍos","Gyarados"
131,"Lapras",NA,NA,"Water","Ice",1,FALSE,FALSE,FALSE,NA,NA,"ラプラス","Rapurasu","Laplace","Lapras","Lokhlass",NA,NA,"라프라스","Rapeuraseu","Rap'ŭrasŭ","Lapras","拉普拉斯","拉普拉斯","Lāpǔlāsī","Lāaipóulāaisī","乘龍 / 乘龙 Chénglóng (TW/CN)背背龍 Buibuilùhng (HK)",NA,NA,"Лапрас","Lapras","ลาพลาซ","Laphlat","लैप्रस","Laipras","Lapras"
132,"Ditto",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"メタモン","Metamon","Metamon","Ditto","Métamorph",NA,NA,"메타몽","Metamong","Met'among","Metamong","百變怪","百变怪","Bǎibiànguài","Baakbingwaai","-",NA,NA,"Дитто","Ditto","เมตามอน","Metamon","डिट्टो","Ḍiṭṭo","Ditto"
133,"Eevee",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"イーブイ","Ībui","Eievui","Evoli","Évoli",NA,NA,"이브이","Ibeui","Ibŭ'i","Eevee","伊布","伊布","Yībù","Yībou","伊貝 Yībui (HK)",NA,NA,"Иви","Ivi","อีวุย","Iwui","ईवी","Īvī","Eevee"
134,"Vaporeon",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"シャワーズ","Shawāzu","Showers","Aquana","Aquali",NA,NA,"샤미드","Syamideu","Syamidŭ","Shamid","水伊布","水伊布","Shuǐyībù","Séuiyībou","水精靈 / 水精灵 Shuǐjīnglíng (TW/CN)水伊貝 Séuiyībui (HK)",NA,NA,"Вапореон","Vaporeon","ชาวเวอร์ส","Chaowoet","नीरीवी","Nīrīvī","Neereevee"
135,"Jolteon",NA,NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,"サンダース","Sandāsu","Thunders","Blitza","Voltali",NA,NA,"쥬피썬더","Jyupisseondeo","Chyup'issŏndŏ","Jupithunder","雷伊布","雷伊布","Léiyībù","Lèuihyībou","雷精靈 / 雷精灵 Léijīnglíng (TW/CN)雷伊貝 Lèuihyībui (HK)",NA,NA,"Джолтеон","Dzholteon","ธันเดอร์ส","Thandoet","थंडरीवी","Thaṇḍrīvī","Thundereevee"
136,"Flareon",NA,NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,"ブースター","Būsutā","Booster","Flamara","Pyroli",NA,NA,"부스터","Buseuteo","Busŭt'ŏ","Booster","火伊布","火伊布","Huǒyībù","Fóyībou","火精靈 / 火精灵 Huǒjīnglíng (TW/CN)火伊貝 Fóyībui (HK)",NA,NA,"Флареон","Flareon","บูสเตอร์","Busatoe","फ़्लेरीवी","Flerīvī","Flareevee"
137,"Porygon",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"ポリゴン","Porigon","Porygon","Porygon","Porygon",NA,NA,"폴리곤","Polligon","P'olligon","Porygon","多邊獸","多边兽","Duōbiānshòu","Dōbīnsau","3D龍 / 3D龙 3D-Lóng (TW/CN)立方獸 Laahpfōngsau (HK)",NA,NA,"Поригон","Porigon","โพรีกอน","Phorikon","पोरिगॉन","Porigŏn","Porygon"
138,"Omanyte",NA,NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,"オムナイト","Omunaito","Omnite[ac]","Amonitas","Amonita",NA,NA,"암나이트","Amnaiteu","Amnait'ŭ","Amnait","菊石獸","菊石兽","Júshíshòu","Gūksehksau","-",NA,NA,"Оманайт","Omanayt","ออมไนต์","Omnai","ऑमानाइट","Ŏmānāiṭ","Omanyte"
139,"Omastar",NA,NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,"オムスター","Omusutā","Omstar[ad]","Amoroso","Amonistar",NA,NA,"암스타","Amseuta","Amsŭt'a","Amsta","多刺菊石獸","多刺菊石兽","Duōcìjúshíshòu","Dōchigūksehksau","-",NA,NA,"Омастар","Omastar","ออมสตาร์","Omsata","ऑमास्टार","Ŏmāsṭār","Omastar"
140,"Kabuto",NA,NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,"カブト","Kabuto","Kabuto","Kabuto","Kabuto",NA,NA,"투구","Tugu","T'ugu","Toogu","化石盔","化石盔","Huàshíkuī","Fasehkkwāi","萬年蟲 Maahnnìhnchùhng (HK)",NA,NA,"Кабуто","Kabuto","คาบูโตะ","Khabuto","कबूटो","Kabūṭo","Kabuto"
141,"Kabutops",NA,NA,"Rock","Water",1,FALSE,FALSE,FALSE,NA,NA,"カブトプス","Kabutopusu","Kabutops[ae]","Kabutops","Kabutops",NA,NA,"투구푸스","Tugupuseu","T'ugup'usŭ","Tooguphus","鐮刀盔","镰刀盔","Liándāokuī","Lìhmdōukwāi","鐮刀蟲 Lìhmdōuchùhng (HK)",NA,NA,"Кабутопс","Kabutops","คาบูท็อปส์","Khabuthop","कबूटॉप्स","Kabūṭŏps","Kabutops"
142,"Aerodactyl",NA,NA,"Rock","Flying",1,FALSE,FALSE,FALSE,NA,NA,"プテラ","Putera","Ptera","Aerodactyl","Ptéra",NA,NA,"프테라","Peutera","Pŭt'era","Ptera","化石翼龍","化石翼龙","Huàshíyìlóng","Fasehkyihklùhng","化石飛龍 Fasehkfēilùhng (HK)",NA,NA,"Аэродактиль","Aerodaktil'","พเทอรา","Phathoera","ऐरोडैक्टिल","Airoḍaikṭil","Aerodactyl"
143,"Snorlax",NA,NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,"カビゴン","Kabigon","Kabigon","Relaxo","Ronflex",NA,NA,"잠만보","Jammanbo","Chammanbo","Jammanbo","卡比獸","卡比兽","Kǎbǐshòu","Kābéisau","-",NA,NA,"Снорлакс","Snorlaks","คาบิกอน","Khabikon","स्नोरलैक्स","Snorlaiks","Snorlax"
144,"Articuno",NA,"Galarian Form","Psychic","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios","フリーザー","Furīzā","Freezer","Arktos","Artikodin",NA,NA,"프리져","Peurijyeo","Pŭrijyŏ","Freeser","急凍鳥","急冻鸟","Jídòngniǎo","Gāpdungníuh","-",NA,NA,"Артикуно","Artikuno","ฟรีเซอร์","Frisoe","आर्टिकूनो","Ārṭikūno","Articuno"
144,"Articuno",NA,NA,"Ice","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios","フリーザー","Furīzā","Freezer","Arktos","Artikodin",NA,NA,"프리져","Peurijyeo","Pŭrijyŏ","Freeser","急凍鳥","急冻鸟","Jídòngniǎo","Gāpdungníuh","-",NA,NA,"Артикуно","Artikuno","ฟรีเซอร์","Frisoe","आर्टिकूनो","Ārṭikūno","Articuno"
145,"Zapdos",NA,"Galarian Form","Fighting","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios","サンダー","Sandā","Thunder","Zapdos","Électhor",NA,NA,"썬더","Sseondeo","Ssŏndŏ","Sunder","閃電鳥","闪电鸟","Shǎndiànniǎo","Símdihnníuh","雷鳥 Lèuihníuh (HK)",NA,NA,"Запдос","Zapdos","ธันเดอร์","Thandoe","ज़ैपडोस","Zaipḍos","Zapdos"
145,"Zapdos",NA,NA,"Electric","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios","サンダー","Sandā","Thunder","Zapdos","Électhor",NA,NA,"썬더","Sseondeo","Ssŏndŏ","Sunder","閃電鳥","闪电鸟","Shǎndiànniǎo","Símdihnníuh","雷鳥 Lèuihníuh (HK)",NA,NA,"Запдос","Zapdos","ธันเดอร์","Thandoe","ज़ैपडोस","Zaipḍos","Zapdos"
146,"Moltres",NA,"Galarian Form","Dark","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios","ファイヤー","Faiyā","Fire","Lavados","Sulfura",NA,NA,"파이어","Paieo","P'aiŏ","Faier","火焰鳥","火焰鸟","Huǒyànniǎo","Fóyihmníuh","火鳥 Fóníuh (HK)",NA,NA,"Молтрес","Moltres","ไฟเยอร์","Faiyoe","मोल्ट्रेस","Molṭres","Moltres"
146,"Moltres",NA,NA,"Fire","Flying",1,TRUE,FALSE,FALSE,"Legendary birds","trios","ファイヤー","Faiyā","Fire","Lavados","Sulfura",NA,NA,"파이어","Paieo","P'aiŏ","Faier","火焰鳥","火焰鸟","Huǒyànniǎo","Fóyihmníuh","火鳥 Fóníuh (HK)",NA,NA,"Молтрес","Moltres","ไฟเยอร์","Faiyoe","मोल्ट्रेस","Molṭres","Moltres"
147,"Dratini",NA,NA,"Dragon",NA,1,FALSE,FALSE,FALSE,NA,NA,"ミニリュウ","Miniryū","Miniryu","Dratini","Minidraco",NA,NA,"미뇽","Minyong","Minyong","Minyong","迷你龍","迷你龙","Mínǐlóng","Màihnéihlùhng","-",NA,NA,"Дратини","Dratini","มินิริว","Minirio","ड्रटिनी","Ḍraṭinī","Dratini"
148,"Dragonair",NA,NA,"Dragon",NA,1,FALSE,FALSE,FALSE,NA,NA,"ハクリュー","Hakuryū","Hakuryu","Dragonir","Draco",NA,NA,"신뇽","Sinnyong","Sinnyong","Sinnyong","哈克龍","哈克龙","Hākèlóng","Hāhāklùhng","哈古龍 Hāgúlùhng (HK)",NA,NA,"Драгонэйр","Dragoneyr","ฮาคุริว","Hakhurio","ड्रैगनेयर","Ḍraigneyar","Dragonair"
149,"Dragonite",NA,NA,"Dragon","Flying",1,FALSE,FALSE,FALSE,NA,NA,"カイリュー","Kairyū","Kairyu","Dragoran","Dracolosse",NA,NA,"망나뇽","Mangnanyong","Mangnanyong","Mangnanyong","快龍","快龙","Kuàilóng","Faailùhng","啟暴龍 Káibouhlùhng (HK)",NA,NA,"Драгонайт","Dragonayt","ไคริว","Khairio","ड्रैगनाइट","Ḍraignāiṭ","Dragonite"
150,"Mewtwo",NA,NA,"Psychic",NA,1,TRUE,FALSE,FALSE,"Mew duo","duos","ミュウツー","Myūtsū","Mewtwo","Mewtu","Mewtwo",NA,NA,"뮤츠","Myucheu","Myuch'ŭ","Mewtwo","超夢","超梦","Chāomèng","Chīumuhng","超夢夢 Chīumuhngmuhng (HK)",NA,NA,"Мьюту","M'yutu","มิวทู","Miothu","म्यूटू","Myūṭū","Mewtwo"
