"ndex","name","form","MegaOrPrimal","Mega","HP_I","HP_VI","HP_VII","HP_VIII","HP_IX","HP_II-V","Attack_I","Attack_VI","Attack_VII","Attack_VIII","Attack_IX","Attack_II-V","Defense_I","Defense_VI","Defense_VII","Defense_VIII","Defense_IX","Defense_II-V","Speed_I","Speed_VI","Speed_VII","Speed_VIII","Speed_IX","Speed_II-V","Special_I","Special_VI","Special_VII","Special_VIII","Special_IX","Special_II-V","Total_I","Total_VI","Total_VII","Total_VIII","Total_IX","Total_II-V","Average_I","Average_VI","Average_VII","Average_VIII","Average_IX","Average_II-V","SpAttack_I","SpAttack_VI","SpAttack_VII","SpAttack_VIII","SpAttack_IX","SpAttack_II-V","SpDefense_I","SpDefense_VI","SpDefense_VII","SpDefense_VIII","SpDefense_IX","SpDefense_II-V"
229,"Houndoom",NA,"Mega","Mega Houndoom",NA,75,75,75,75,NA,NA,90,90,90,90,NA,NA,90,90,90,90,NA,NA,115,115,115,115,NA,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,NA,NA,100,100,100,100,NA,NA,140,140,140,140,NA,NA,90,90,90,90,NA
230,"Kingdra",NA,NA,NA,NA,75,75,75,75,75,NA,95,95,95,95,95,NA,95,95,95,95,95,NA,85,85,85,85,85,NA,NA,NA,NA,NA,NA,NA,540,540,540,540,540,NA,90,90,90,90,90,NA,95,95,95,95,95,NA,95,95,95,95,95
231,"Phanpy",NA,NA,NA,NA,90,90,90,90,90,NA,60,60,60,60,60,NA,60,60,60,60,60,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,330,330,330,330,330,NA,55,55,55,55,55,NA,40,40,40,40,40,NA,40,40,40,40,40
232,"Donphan",NA,NA,NA,NA,90,90,90,90,90,NA,120,120,120,120,120,NA,120,120,120,120,120,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,500,500,500,500,500,NA,83.33,83.33,83.33,83.33,83.33,NA,60,60,60,60,60,NA,60,60,60,60,60
233,"Porygon2",NA,NA,NA,NA,85,85,85,85,85,NA,80,80,80,80,80,NA,90,90,90,90,90,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,515,515,515,515,515,NA,85.83,85.83,85.83,85.83,85.83,NA,105,105,105,105,105,NA,95,95,95,95,95
234,"Stantler",NA,NA,NA,NA,73,73,73,73,73,NA,95,95,95,95,95,NA,62,62,62,62,62,NA,85,85,85,85,85,NA,NA,NA,NA,NA,NA,NA,465,465,465,465,465,NA,77.5,77.5,77.5,77.5,77.5,NA,85,85,85,85,85,NA,65,65,65,65,65
235,"Smeargle",NA,NA,NA,NA,55,55,55,55,55,NA,20,20,20,20,20,NA,35,35,35,35,35,NA,75,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,250,250,250,250,250,NA,41.67,41.67,41.67,41.67,41.67,NA,20,20,20,20,20,NA,45,45,45,45,45
236,"Tyrogue",NA,NA,NA,NA,35,35,35,35,35,NA,35,35,35,35,35,NA,35,35,35,35,35,NA,35,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,210,210,210,210,210,NA,35,35,35,35,35,NA,35,35,35,35,35,NA,35,35,35,35,35
237,"Hitmontop",NA,NA,NA,NA,50,50,50,50,50,NA,95,95,95,95,95,NA,95,95,95,95,95,NA,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,455,455,455,455,455,NA,75.83,75.83,75.83,75.83,75.83,NA,35,35,35,35,35,NA,110,110,110,110,110
238,"Smoochum",NA,NA,NA,NA,45,45,45,45,45,NA,30,30,30,30,30,NA,15,15,15,15,15,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,305,305,305,305,305,NA,50.83,50.83,50.83,50.83,50.83,NA,85,85,85,85,85,NA,65,65,65,65,65
239,"Elekid",NA,NA,NA,NA,45,45,45,45,45,NA,63,63,63,63,63,NA,37,37,37,37,37,NA,95,95,95,95,95,NA,NA,NA,NA,NA,NA,NA,360,360,360,360,360,NA,60,60,60,60,60,NA,65,65,65,65,65,NA,55,55,55,55,55
240,"Magby",NA,NA,NA,NA,45,45,45,45,45,NA,75,75,75,75,75,NA,37,37,37,37,37,NA,83,83,83,83,83,NA,NA,NA,NA,NA,NA,NA,365,365,365,365,365,NA,60.83,60.83,60.83,60.83,60.83,NA,70,70,70,70,70,NA,55,55,55,55,55
241,"Miltank",NA,NA,NA,NA,95,95,95,95,95,NA,80,80,80,80,80,NA,105,105,105,105,105,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,490,490,490,490,490,NA,81.67,81.67,81.67,81.67,81.67,NA,40,40,40,40,40,NA,70,70,70,70,70
242,"Blissey",NA,NA,NA,NA,255,255,255,255,255,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,540,540,540,540,540,NA,90,90,90,90,90,NA,75,75,75,75,75,NA,135,135,135,135,135
243,"Raikou",NA,NA,NA,NA,90,90,90,90,90,NA,85,85,85,85,85,NA,75,75,75,75,75,NA,115,115,115,115,115,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,115,115,115,115,115,NA,100,100,100,100,100
244,"Entei",NA,NA,NA,NA,115,115,115,115,115,NA,115,115,115,115,115,NA,85,85,85,85,85,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,90,90,90,90,90,NA,75,75,75,75,75
245,"Suicune",NA,NA,NA,NA,100,100,100,100,100,NA,75,75,75,75,75,NA,115,115,115,115,115,NA,85,85,85,85,85,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,90,90,90,90,90,NA,115,115,115,115,115
246,"Larvitar",NA,NA,NA,NA,50,50,50,50,50,NA,64,64,64,64,64,NA,50,50,50,50,50,NA,41,41,41,41,41,NA,NA,NA,NA,NA,NA,NA,300,300,300,300,300,NA,50,50,50,50,50,NA,45,45,45,45,45,NA,50,50,50,50,50
247,"Pupitar",NA,NA,NA,NA,70,70,70,70,70,NA,84,84,84,84,84,NA,70,70,70,70,70,NA,51,51,51,51,51,NA,NA,NA,NA,NA,NA,NA,410,410,410,410,410,NA,68.33,68.33,68.33,68.33,68.33,NA,65,65,65,65,65,NA,70,70,70,70,70
248,"Tyranitar",NA,NA,NA,NA,100,100,100,100,100,NA,134,134,134,134,134,NA,110,110,110,110,110,NA,61,61,61,61,61,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,95,95,95,95,95,NA,100,100,100,100,100
248,"Tyranitar",NA,"Mega","Mega Tyranitar",NA,100,100,100,100,NA,NA,164,164,164,164,NA,NA,150,150,150,150,NA,NA,71,71,71,71,NA,NA,NA,NA,NA,NA,NA,NA,700,700,700,700,NA,NA,116.67,116.67,116.67,116.67,NA,NA,95,95,95,95,NA,NA,120,120,120,120,NA
249,"Lugia",NA,NA,NA,NA,106,106,106,106,106,NA,90,90,90,90,90,NA,130,130,130,130,130,NA,110,110,110,110,110,NA,NA,NA,NA,NA,NA,NA,680,680,680,680,680,NA,113.33,113.33,113.33,113.33,113.33,NA,90,90,90,90,90,NA,154,154,154,154,154
250,"Ho-Oh",NA,NA,NA,NA,106,106,106,106,106,NA,130,130,130,130,130,NA,90,90,90,90,90,NA,90,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,680,680,680,680,680,NA,113.33,113.33,113.33,113.33,113.33,NA,110,110,110,110,110,NA,154,154,154,154,154
251,"Celebi",NA,NA,NA,NA,100,100,100,100,100,NA,100,100,100,100,100,NA,100,100,100,100,100,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,100,100,100,100,100,NA,100,100,100,100,100
252,"Treecko",NA,NA,NA,NA,40,40,40,40,40,NA,45,45,45,45,45,NA,35,35,35,35,35,NA,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,310,310,310,310,310,NA,51.67,51.67,51.67,51.67,51.67,NA,65,65,65,65,65,NA,55,55,55,55,55
253,"Grovyle",NA,NA,NA,NA,50,50,50,50,50,NA,65,65,65,65,65,NA,45,45,45,45,45,NA,95,95,95,95,95,NA,NA,NA,NA,NA,NA,NA,405,405,405,405,405,NA,67.5,67.5,67.5,67.5,67.5,NA,85,85,85,85,85,NA,65,65,65,65,65
254,"Sceptile",NA,NA,NA,NA,70,70,70,70,70,NA,85,85,85,85,85,NA,65,65,65,65,65,NA,120,120,120,120,120,NA,NA,NA,NA,NA,NA,NA,530,530,530,530,530,NA,88.33,88.33,88.33,88.33,88.33,NA,105,105,105,105,105,NA,85,85,85,85,85
254,"Sceptile",NA,"Mega","Mega Sceptile",NA,70,70,70,70,NA,NA,110,110,110,110,NA,NA,75,75,75,75,NA,NA,145,145,145,145,NA,NA,NA,NA,NA,NA,NA,NA,630,630,630,630,NA,NA,105,105,105,105,NA,NA,145,145,145,145,NA,NA,85,85,85,85,NA
255,"Torchic",NA,NA,NA,NA,45,45,45,45,45,NA,60,60,60,60,60,NA,40,40,40,40,40,NA,45,45,45,45,45,NA,NA,NA,NA,NA,NA,NA,310,310,310,310,310,NA,51.67,51.67,51.67,51.67,51.67,NA,70,70,70,70,70,NA,50,50,50,50,50
256,"Combusken",NA,NA,NA,NA,60,60,60,60,60,NA,85,85,85,85,85,NA,60,60,60,60,60,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,405,405,405,405,405,NA,67.5,67.5,67.5,67.5,67.5,NA,85,85,85,85,85,NA,60,60,60,60,60
257,"Blaziken",NA,NA,NA,NA,80,80,80,80,80,NA,120,120,120,120,120,NA,70,70,70,70,70,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,530,530,530,530,530,NA,88.33,88.33,88.33,88.33,88.33,NA,110,110,110,110,110,NA,70,70,70,70,70
257,"Blaziken",NA,"Mega","Mega Blaziken",NA,80,80,80,80,NA,NA,160,160,160,160,NA,NA,80,80,80,80,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,630,630,630,630,NA,NA,105,105,105,105,NA,NA,130,130,130,130,NA,NA,80,80,80,80,NA
258,"Mudkip",NA,NA,NA,NA,50,50,50,50,50,NA,70,70,70,70,70,NA,50,50,50,50,50,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,310,310,310,310,310,NA,51.67,51.67,51.67,51.67,51.67,NA,50,50,50,50,50,NA,50,50,50,50,50
259,"Marshtomp",NA,NA,NA,NA,70,70,70,70,70,NA,85,85,85,85,85,NA,70,70,70,70,70,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,405,405,405,405,405,NA,67.5,67.5,67.5,67.5,67.5,NA,60,60,60,60,60,NA,70,70,70,70,70
260,"Swampert",NA,NA,NA,NA,100,100,100,100,100,NA,110,110,110,110,110,NA,90,90,90,90,90,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,535,535,535,535,535,NA,89.17,89.17,89.17,89.17,89.17,NA,85,85,85,85,85,NA,90,90,90,90,90
260,"Swampert",NA,"Mega","Mega Swampert",NA,100,100,100,100,NA,NA,150,150,150,150,NA,NA,110,110,110,110,NA,NA,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,635,635,635,635,NA,NA,105.83,105.83,105.83,105.83,NA,NA,95,95,95,95,NA,NA,110,110,110,110,NA
261,"Poochyena",NA,NA,NA,NA,35,35,35,35,35,NA,55,55,55,55,55,NA,35,35,35,35,35,NA,35,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,220,220,220,220,220,NA,36.67,36.67,36.67,36.67,36.67,NA,30,30,30,30,30,NA,30,30,30,30,30
262,"Mightyena",NA,NA,NA,NA,70,70,70,70,70,NA,90,90,90,90,90,NA,70,70,70,70,70,NA,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,420,420,420,420,420,NA,70,70,70,70,70,NA,60,60,60,60,60,NA,60,60,60,60,60
263,"Zigzagoon",NA,NA,NA,NA,38,38,38,38,38,NA,30,30,30,30,30,NA,41,41,41,41,41,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,240,240,240,240,240,NA,40,40,40,40,40,NA,30,30,30,30,30,NA,41,41,41,41,41
264,"Linoone",NA,NA,NA,NA,78,78,78,78,78,NA,70,70,70,70,70,NA,61,61,61,61,61,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,420,420,420,420,420,NA,70,70,70,70,70,NA,50,50,50,50,50,NA,61,61,61,61,61
265,"Wurmple",NA,NA,NA,NA,45,45,45,45,45,NA,45,45,45,45,45,NA,35,35,35,35,35,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,195,195,195,195,195,NA,32.5,32.5,32.5,32.5,32.5,NA,20,20,20,20,20,NA,30,30,30,30,30
266,"Silcoon",NA,NA,NA,NA,50,50,50,50,50,NA,35,35,35,35,35,NA,55,55,55,55,55,NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,205,205,205,205,205,NA,34.17,34.17,34.17,34.17,34.17,NA,25,25,25,25,25,NA,25,25,25,25,25
267,"Beautifly",NA,NA,NA,NA,60,60,60,60,60,NA,70,70,70,70,70,NA,50,50,50,50,50,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,395,395,395,395,385,NA,65.83,65.83,65.83,65.83,64.17,NA,100,100,100,100,90,NA,50,50,50,50,50
268,"Cascoon",NA,NA,NA,NA,50,50,50,50,50,NA,35,35,35,35,35,NA,55,55,55,55,55,NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,205,205,205,205,205,NA,34.17,34.17,34.17,34.17,34.17,NA,25,25,25,25,25,NA,25,25,25,25,25
269,"Dustox",NA,NA,NA,NA,60,60,60,60,60,NA,50,50,50,50,50,NA,70,70,70,70,70,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,385,385,385,385,385,NA,64.17,64.17,64.17,64.17,64.17,NA,50,50,50,50,50,NA,90,90,90,90,90
270,"Lotad",NA,NA,NA,NA,40,40,40,40,40,NA,30,30,30,30,30,NA,30,30,30,30,30,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,220,220,220,220,220,NA,36.67,36.67,36.67,36.67,36.67,NA,40,40,40,40,40,NA,50,50,50,50,50
271,"Lombre",NA,NA,NA,NA,60,60,60,60,60,NA,50,50,50,50,50,NA,50,50,50,50,50,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,340,340,340,340,340,NA,56.67,56.67,56.67,56.67,56.67,NA,60,60,60,60,60,NA,70,70,70,70,70
272,"Ludicolo",NA,NA,NA,NA,80,80,80,80,80,NA,70,70,70,70,70,NA,70,70,70,70,70,NA,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,480,480,480,480,480,NA,80,80,80,80,80,NA,90,90,90,90,90,NA,100,100,100,100,100
273,"Seedot",NA,NA,NA,NA,40,40,40,40,40,NA,40,40,40,40,40,NA,50,50,50,50,50,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,220,220,220,220,220,NA,36.67,36.67,36.67,36.67,36.67,NA,30,30,30,30,30,NA,30,30,30,30,30
274,"Nuzleaf",NA,NA,NA,NA,70,70,70,70,70,NA,70,70,70,70,70,NA,40,40,40,40,40,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,340,340,340,340,340,NA,56.67,56.67,56.67,56.67,56.67,NA,60,60,60,60,60,NA,40,40,40,40,40
275,"Shiftry",NA,NA,NA,NA,90,90,90,90,90,NA,100,100,100,100,100,NA,60,60,60,60,60,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,480,480,480,480,480,NA,80,80,80,80,80,NA,90,90,90,90,90,NA,60,60,60,60,60
276,"Taillow",NA,NA,NA,NA,40,40,40,40,40,NA,55,55,55,55,55,NA,30,30,30,30,30,NA,85,85,85,85,85,NA,NA,NA,NA,NA,NA,NA,270,270,270,270,270,NA,45,45,45,45,45,NA,30,30,30,30,30,NA,30,30,30,30,30
277,"Swellow",NA,NA,NA,NA,60,60,60,60,60,NA,85,85,85,85,85,NA,60,60,60,60,60,NA,125,125,125,125,125,NA,NA,NA,NA,NA,NA,NA,430,455,455,455,430,NA,71.67,75.83,75.83,75.83,71.67,NA,50,75,75,75,50,NA,50,50,50,50,50
278,"Wingull",NA,NA,NA,NA,40,40,40,40,40,NA,30,30,30,30,30,NA,30,30,30,30,30,NA,85,85,85,85,85,NA,NA,NA,NA,NA,NA,NA,270,270,270,270,270,NA,45,45,45,45,45,NA,55,55,55,55,55,NA,30,30,30,30,30
279,"Pelipper",NA,NA,NA,NA,60,60,60,60,60,NA,50,50,50,50,50,NA,100,100,100,100,100,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,430,440,440,440,430,NA,71.67,73.33,73.33,73.33,71.67,NA,85,95,95,95,85,NA,70,70,70,70,70
280,"Ralts",NA,NA,NA,NA,28,28,28,28,28,NA,25,25,25,25,25,NA,25,25,25,25,25,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,198,198,198,198,198,NA,33,33,33,33,33,NA,45,45,45,45,45,NA,35,35,35,35,35
281,"Kirlia",NA,NA,NA,NA,38,38,38,38,38,NA,35,35,35,35,35,NA,35,35,35,35,35,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,278,278,278,278,278,NA,46.33,46.33,46.33,46.33,46.33,NA,65,65,65,65,65,NA,55,55,55,55,55
282,"Gardevoir",NA,NA,NA,NA,68,68,68,68,68,NA,65,65,65,65,65,NA,65,65,65,65,65,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,518,518,518,518,518,NA,86.33,86.33,86.33,86.33,86.33,NA,125,125,125,125,125,NA,115,115,115,115,115
282,"Gardevoir",NA,"Mega","Mega Gardevoir",NA,68,68,68,68,NA,NA,85,85,85,85,NA,NA,65,65,65,65,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,618,618,618,618,NA,NA,103,103,103,103,NA,NA,165,165,165,165,NA,NA,135,135,135,135,NA
283,"Surskit",NA,NA,NA,NA,40,40,40,40,40,NA,30,30,30,30,30,NA,32,32,32,32,32,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,269,269,269,269,269,NA,44.83,44.83,44.83,44.83,44.83,NA,50,50,50,50,50,NA,52,52,52,52,52
284,"Masquerain",NA,NA,NA,NA,70,70,70,70,70,NA,60,60,60,60,60,NA,62,62,62,62,62,NA,60,80,80,80,60,NA,NA,NA,NA,NA,NA,NA,414,454,454,454,414,NA,69,75.67,75.67,75.67,69,NA,80,100,100,100,80,NA,82,82,82,82,82
285,"Shroomish",NA,NA,NA,NA,60,60,60,60,60,NA,40,40,40,40,40,NA,60,60,60,60,60,NA,35,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,295,295,295,295,295,NA,49.17,49.17,49.17,49.17,49.17,NA,40,40,40,40,40,NA,60,60,60,60,60
286,"Breloom",NA,NA,NA,NA,60,60,60,60,60,NA,130,130,130,130,130,NA,80,80,80,80,80,NA,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,460,460,460,460,460,NA,76.67,76.67,76.67,76.67,76.67,NA,60,60,60,60,60,NA,60,60,60,60,60
287,"Slakoth",NA,NA,NA,NA,60,60,60,60,60,NA,60,60,60,60,60,NA,60,60,60,60,60,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,280,280,280,280,280,NA,46.67,46.67,46.67,46.67,46.67,NA,35,35,35,35,35,NA,35,35,35,35,35
288,"Vigoroth",NA,NA,NA,NA,80,80,80,80,80,NA,80,80,80,80,80,NA,80,80,80,80,80,NA,90,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,440,440,440,440,440,NA,73.33,73.33,73.33,73.33,73.33,NA,55,55,55,55,55,NA,55,55,55,55,55
289,"Slaking",NA,NA,NA,NA,150,150,150,150,150,NA,160,160,160,160,160,NA,100,100,100,100,100,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,670,670,670,670,670,NA,111.67,111.67,111.67,111.67,111.67,NA,95,95,95,95,95,NA,65,65,65,65,65
290,"Nincada",NA,NA,NA,NA,31,31,31,31,31,NA,45,45,45,45,45,NA,90,90,90,90,90,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,266,266,266,266,266,NA,44.33,44.33,44.33,44.33,44.33,NA,30,30,30,30,30,NA,30,30,30,30,30
291,"Ninjask",NA,NA,NA,NA,61,61,61,61,61,NA,90,90,90,90,90,NA,45,45,45,45,45,NA,160,160,160,160,160,NA,NA,NA,NA,NA,NA,NA,456,456,456,456,456,NA,76,76,76,76,76,NA,50,50,50,50,50,NA,50,50,50,50,50
292,"Shedinja",NA,NA,NA,NA,1,1,1,1,1,NA,90,90,90,90,90,NA,45,45,45,45,45,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,236,236,236,236,236,NA,39.33,39.33,39.33,39.33,39.33,NA,30,30,30,30,30,NA,30,30,30,30,30
293,"Whismur",NA,NA,NA,NA,64,64,64,64,64,NA,51,51,51,51,51,NA,23,23,23,23,23,NA,28,28,28,28,28,NA,NA,NA,NA,NA,NA,NA,240,240,240,240,240,NA,40,40,40,40,40,NA,51,51,51,51,51,NA,23,23,23,23,23
294,"Loudred",NA,NA,NA,NA,84,84,84,84,84,NA,71,71,71,71,71,NA,43,43,43,43,43,NA,48,48,48,48,48,NA,NA,NA,NA,NA,NA,NA,360,360,360,360,360,NA,60,60,60,60,60,NA,71,71,71,71,71,NA,43,43,43,43,43
295,"Exploud",NA,NA,NA,NA,104,104,104,104,104,NA,91,91,91,91,91,NA,63,63,63,63,63,NA,68,68,68,68,68,NA,NA,NA,NA,NA,NA,NA,490,490,490,490,480,NA,81.67,81.67,81.67,81.67,80,NA,91,91,91,91,91,NA,73,73,73,73,63
296,"Makuhita",NA,NA,NA,NA,72,72,72,72,72,NA,60,60,60,60,60,NA,30,30,30,30,30,NA,25,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,237,237,237,237,237,NA,39.5,39.5,39.5,39.5,39.5,NA,20,20,20,20,20,NA,30,30,30,30,30
297,"Hariyama",NA,NA,NA,NA,144,144,144,144,144,NA,120,120,120,120,120,NA,60,60,60,60,60,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,474,474,474,474,474,NA,79,79,79,79,79,NA,40,40,40,40,40,NA,60,60,60,60,60
298,"Azurill",NA,NA,NA,NA,50,50,50,50,50,NA,20,20,20,20,20,NA,40,40,40,40,40,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,190,190,190,190,190,NA,31.67,31.67,31.67,31.67,31.67,NA,20,20,20,20,20,NA,40,40,40,40,40
299,"Nosepass",NA,NA,NA,NA,30,30,30,30,30,NA,45,45,45,45,45,NA,135,135,135,135,135,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,375,375,375,375,375,NA,62.5,62.5,62.5,62.5,62.5,NA,45,45,45,45,45,NA,90,90,90,90,90
300,"Skitty",NA,NA,NA,NA,50,50,50,50,50,NA,45,45,45,45,45,NA,45,45,45,45,45,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,260,260,260,260,260,NA,43.33,43.33,43.33,43.33,43.33,NA,35,35,35,35,35,NA,35,35,35,35,35
301,"Delcatty",NA,NA,NA,NA,70,70,70,70,70,NA,65,65,65,65,65,NA,65,65,65,65,65,NA,70,90,90,90,70,NA,NA,NA,NA,NA,NA,NA,380,400,400,400,380,NA,63.33,66.67,66.67,66.67,63.33,NA,55,55,55,55,55,NA,55,55,55,55,55
302,"Sableye",NA,NA,NA,NA,50,50,50,50,50,NA,75,75,75,75,75,NA,75,75,75,75,75,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,380,380,380,380,380,NA,63.33,63.33,63.33,63.33,63.33,NA,65,65,65,65,65,NA,65,65,65,65,65
302,"Sableye",NA,"Mega","Mega Sableye",NA,50,50,50,50,NA,NA,85,85,85,85,NA,NA,125,125,125,125,NA,NA,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,480,480,480,480,NA,NA,80,80,80,80,NA,NA,85,85,85,85,NA,NA,115,115,115,115,NA
303,"Mawile",NA,NA,NA,NA,50,50,50,50,50,NA,85,85,85,85,85,NA,85,85,85,85,85,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,380,380,380,380,380,NA,63.33,63.33,63.33,63.33,63.33,NA,55,55,55,55,55,NA,55,55,55,55,55
303,"Mawile",NA,"Mega","Mega Mawile",NA,50,50,50,50,NA,NA,105,105,105,105,NA,NA,125,125,125,125,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,480,480,480,480,NA,NA,80,80,80,80,NA,NA,55,55,55,55,NA,NA,95,95,95,95,NA
304,"Aron",NA,NA,NA,NA,50,50,50,50,50,NA,70,70,70,70,70,NA,100,100,100,100,100,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,330,330,330,330,330,NA,55,55,55,55,55,NA,40,40,40,40,40,NA,40,40,40,40,40
305,"Lairon",NA,NA,NA,NA,60,60,60,60,60,NA,90,90,90,90,90,NA,140,140,140,140,140,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,430,430,430,430,430,NA,71.67,71.67,71.67,71.67,71.67,NA,50,50,50,50,50,NA,50,50,50,50,50
306,"Aggron",NA,NA,NA,NA,70,70,70,70,70,NA,110,110,110,110,110,NA,180,180,180,180,180,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,530,530,530,530,530,NA,88.33,88.33,88.33,88.33,88.33,NA,60,60,60,60,60,NA,60,60,60,60,60
306,"Aggron",NA,"Mega","Mega Aggron",NA,70,70,70,70,NA,NA,140,140,140,140,NA,NA,230,230,230,230,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,630,630,630,630,NA,NA,105,105,105,105,NA,NA,60,60,60,60,NA,NA,80,80,80,80,NA
307,"Meditite",NA,NA,NA,NA,30,30,30,30,30,NA,40,40,40,40,40,NA,55,55,55,55,55,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,280,280,280,280,280,NA,46.67,46.67,46.67,46.67,46.67,NA,40,40,40,40,40,NA,55,55,55,55,55
308,"Medicham",NA,NA,NA,NA,60,60,60,60,60,NA,60,60,60,60,60,NA,75,75,75,75,75,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,410,410,410,410,410,NA,68.33,68.33,68.33,68.33,68.33,NA,60,60,60,60,60,NA,75,75,75,75,75
308,"Medicham",NA,"Mega","Mega Medicham",NA,60,60,60,60,NA,NA,100,100,100,100,NA,NA,85,85,85,85,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,510,510,510,510,NA,NA,85,85,85,85,NA,NA,80,80,80,80,NA,NA,85,85,85,85,NA
309,"Electrike",NA,NA,NA,NA,40,40,40,40,40,NA,45,45,45,45,45,NA,40,40,40,40,40,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,295,295,295,295,295,NA,49.17,49.17,49.17,49.17,49.17,NA,65,65,65,65,65,NA,40,40,40,40,40
310,"Manectric",NA,NA,NA,NA,70,70,70,70,70,NA,75,75,75,75,75,NA,60,60,60,60,60,NA,105,105,105,105,105,NA,NA,NA,NA,NA,NA,NA,475,475,475,475,475,NA,79.17,79.17,79.17,79.17,79.17,NA,105,105,105,105,105,NA,60,60,60,60,60
