ndex,name,form,MegaOrPrimal,Mega,HP,Attack,Defense,Speed,Special,Total,Average,Gen,SpAttack,SpDefense
65,Alakazam,NA,Mega,Mega Alakazam,55,50,65,150,NA,600,100,VII,175,105
66,Machop,NA,NA,NA,70,80,50,35,NA,305,50.83,VII,35,35
67,Machoke,NA,NA,NA,80,100,70,45,NA,405,67.5,VII,50,60
68,Machamp,NA,NA,NA,90,130,80,55,NA,505,84.17,VII,65,85
69,Bellsprout,NA,NA,NA,50,75,35,40,NA,300,50,VII,70,30
70,Weepinbell,NA,NA,NA,65,90,50,55,NA,390,65,VII,85,45
71,Victreebel,NA,NA,NA,80,105,65,70,NA,490,81.67,VII,100,70
72,Tentacool,NA,NA,NA,40,40,35,70,NA,335,55.83,VII,50,100
73,Tentacruel,NA,NA,NA,80,70,65,100,NA,515,85.83,VII,80,120
74,Geodude,NA,NA,NA,40,80,100,20,NA,300,50,VII,30,30
74,Geodude,Alolan Geodude,NA,NA,40,80,100,20,NA,300,50,VII,30,30
75,Graveler,NA,NA,NA,55,95,115,35,NA,390,65,VII,45,45
75,Graveler,Alolan Graveler,NA,NA,55,95,115,35,NA,390,65,VII,45,45
76,Golem,NA,NA,NA,80,120,130,45,NA,495,82.5,VII,55,65
76,Golem,Alolan Golem,NA,NA,80,120,130,45,NA,495,82.5,VII,55,65
77,Ponyta,NA,NA,NA,50,85,55,90,NA,410,68.33,VII,65,65
78,Rapidash,NA,NA,NA,65,100,70,105,NA,500,83.33,VII,80,80
79,Slowpoke,NA,NA,NA,90,65,65,15,NA,315,52.5,VII,40,40
80,Slowbro,NA,NA,NA,95,75,110,30,NA,490,81.67,VII,100,80
80,Slowbro,NA,Mega,Mega Slowbro,95,75,180,30,NA,590,98.33,VII,130,80
81,Magnemite,NA,NA,NA,25,35,70,45,NA,325,54.17,VII,95,55
82,Magneton,NA,NA,NA,50,60,95,70,NA,465,77.5,VII,120,70
83,Farfetch'd,NA,NA,NA,52,90,55,60,NA,377,62.83,VII,58,62
84,Doduo,NA,NA,NA,35,85,45,75,NA,310,51.67,VII,35,35
85,Dodrio,NA,NA,NA,60,110,70,110,NA,470,78.33,VII,60,60
86,Seel,NA,NA,NA,65,45,55,45,NA,325,54.17,VII,45,70
87,Dewgong,NA,NA,NA,90,70,80,70,NA,475,79.17,VII,70,95
88,Grimer,NA,NA,NA,80,80,50,25,NA,325,54.17,VII,40,50
88,Grimer,Alolan Grimer,NA,NA,80,80,50,25,NA,325,54.17,VII,40,50
89,Muk,NA,NA,NA,105,105,75,50,NA,500,83.33,VII,65,100
89,Muk,Alolan Muk,NA,NA,105,105,75,50,NA,500,83.33,VII,65,100
90,Shellder,NA,NA,NA,30,65,100,40,NA,305,50.83,VII,45,25
91,Cloyster,NA,NA,NA,50,95,180,70,NA,525,87.5,VII,85,45
92,Gastly,NA,NA,NA,30,35,30,80,NA,310,51.67,VII,100,35
93,Haunter,NA,NA,NA,45,50,45,95,NA,405,67.5,VII,115,55
94,Gengar,NA,NA,NA,60,65,60,110,NA,500,83.33,VII,130,75
94,Gengar,NA,Mega,Mega Gengar,60,65,80,130,NA,600,100,VII,170,95
95,Onix,NA,NA,NA,35,45,160,70,NA,385,64.17,VII,30,45
96,Drowzee,NA,NA,NA,60,48,45,42,NA,328,54.67,VII,43,90
97,Hypno,NA,NA,NA,85,73,70,67,NA,483,80.5,VII,73,115
98,Krabby,NA,NA,NA,30,105,90,50,NA,325,54.17,VII,25,25
99,Kingler,NA,NA,NA,55,130,115,75,NA,475,79.17,VII,50,50
100,Voltorb,NA,NA,NA,40,30,50,100,NA,330,55,VII,55,55
101,Electrode,NA,NA,NA,60,50,70,150,NA,490,81.67,VII,80,80
102,Exeggcute,NA,NA,NA,60,40,80,40,NA,325,54.17,VII,60,45
103,Exeggutor,NA,NA,NA,95,95,85,55,NA,530,88.33,VII,125,75
103,Exeggutor,Alolan Exeggutor,NA,NA,95,105,85,45,NA,530,88.33,VII,125,75
104,Cubone,NA,NA,NA,50,50,95,35,NA,320,53.33,VII,40,50
105,Marowak,NA,NA,NA,60,80,110,45,NA,425,70.83,VII,50,80
105,Marowak,Alolan Marowak,NA,NA,60,80,110,45,NA,425,70.83,VII,50,80
106,Hitmonlee,NA,NA,NA,50,120,53,87,NA,455,75.83,VII,35,110
107,Hitmonchan,NA,NA,NA,50,105,79,76,NA,455,75.83,VII,35,110
108,Lickitung,NA,NA,NA,90,55,75,30,NA,385,64.17,VII,60,75
109,Koffing,NA,NA,NA,40,65,95,35,NA,340,56.67,VII,60,45
110,Weezing,NA,NA,NA,65,90,120,60,NA,490,81.67,VII,85,70
111,Rhyhorn,NA,NA,NA,80,85,95,25,NA,345,57.5,VII,30,30
112,Rhydon,NA,NA,NA,105,130,120,40,NA,485,80.83,VII,45,45
113,Chansey,NA,NA,NA,250,5,5,50,NA,450,75,VII,35,105
114,Tangela,NA,NA,NA,65,55,115,60,NA,435,72.5,VII,100,40
115,Kangaskhan,NA,NA,NA,105,95,80,90,NA,490,81.67,VII,40,80
115,Kangaskhan,NA,Mega,Mega Kangaskhan,105,125,100,100,NA,590,98.33,VII,60,100
116,Horsea,NA,NA,NA,30,40,70,60,NA,295,49.17,VII,70,25
117,Seadra,NA,NA,NA,55,65,95,85,NA,440,73.33,VII,95,45
118,Goldeen,NA,NA,NA,45,67,60,63,NA,320,53.33,VII,35,50
119,Seaking,NA,NA,NA,80,92,65,68,NA,450,75,VII,65,80
120,Staryu,NA,NA,NA,30,45,55,85,NA,340,56.67,VII,70,55
121,Starmie,NA,NA,NA,60,75,85,115,NA,520,86.67,VII,100,85
122,Mr. Mime,NA,NA,NA,40,45,65,90,NA,460,76.67,VII,100,120
123,Scyther,NA,NA,NA,70,110,80,105,NA,500,83.33,VII,55,80
124,Jynx,NA,NA,NA,65,50,35,95,NA,455,75.83,VII,115,95
125,Electabuzz,NA,NA,NA,65,83,57,105,NA,490,81.67,VII,95,85
126,Magmar,NA,NA,NA,65,95,57,93,NA,495,82.5,VII,100,85
127,Pinsir,NA,NA,NA,65,125,100,85,NA,500,83.33,VII,55,70
127,Pinsir,NA,Mega,Mega Pinsir,65,155,120,105,NA,600,100,VII,65,90
128,Tauros,NA,NA,NA,75,100,95,110,NA,490,81.67,VII,40,70
129,Magikarp,NA,NA,NA,20,10,55,80,NA,200,33.33,VII,15,20
130,Gyarados,NA,NA,NA,95,125,79,81,NA,540,90,VII,60,100
130,Gyarados,NA,Mega,Mega Gyarados,95,155,109,81,NA,640,106.67,VII,70,130
131,Lapras,NA,NA,NA,130,85,80,60,NA,535,89.17,VII,85,95
132,Ditto,NA,NA,NA,48,48,48,48,NA,288,48,VII,48,48
133,Eevee,NA,NA,NA,55,55,50,55,NA,325,54.17,VII,45,65
133,Eevee,Partner Eevee,NA,NA,65,75,70,75,NA,435,72.5,VII,65,85
134,Vaporeon,NA,NA,NA,130,65,60,65,NA,525,87.5,VII,110,95
135,Jolteon,NA,NA,NA,65,65,60,130,NA,525,87.5,VII,110,95
136,Flareon,NA,NA,NA,65,130,60,65,NA,525,87.5,VII,95,110
137,Porygon,NA,NA,NA,65,60,70,40,NA,395,65.83,VII,85,75
138,Omanyte,NA,NA,NA,35,40,100,35,NA,355,59.17,VII,90,55
139,Omastar,NA,NA,NA,70,60,125,55,NA,495,82.5,VII,115,70
140,Kabuto,NA,NA,NA,30,80,90,55,NA,355,59.17,VII,55,45
141,Kabutops,NA,NA,NA,60,115,105,80,NA,495,82.5,VII,65,70
142,Aerodactyl,NA,NA,NA,80,105,65,130,NA,515,85.83,VII,60,75
142,Aerodactyl,NA,Mega,Mega Aerodactyl,80,135,85,150,NA,615,102.5,VII,70,95
143,Snorlax,NA,NA,NA,160,110,65,30,NA,540,90,VII,65,110
144,Articuno,NA,NA,NA,90,85,100,85,NA,580,96.67,VII,95,125
145,Zapdos,NA,NA,NA,90,90,85,100,NA,580,96.67,VII,125,90
146,Moltres,NA,NA,NA,90,100,90,90,NA,580,96.67,VII,125,85
147,Dratini,NA,NA,NA,41,64,45,50,NA,300,50,VII,50,50
148,Dragonair,NA,NA,NA,61,84,65,70,NA,420,70,VII,70,70
149,Dragonite,NA,NA,NA,91,134,95,80,NA,600,100,VII,100,100
150,Mewtwo,NA,NA,NA,106,110,90,130,NA,680,113.33,VII,154,90
150,Mewtwo,NA,Mega,Mega Mewtwo X,106,190,100,130,NA,780,130,VII,154,100
150,Mewtwo,NA,Mega,Mega Mewtwo Y,106,150,70,140,NA,780,130,VII,194,120
151,Mew,NA,NA,NA,100,100,100,100,NA,600,100,VII,100,100
152,Chikorita,NA,NA,NA,45,49,65,45,NA,318,53,VII,49,65
153,Bayleef,NA,NA,NA,60,62,80,60,NA,405,67.5,VII,63,80
154,Meganium,NA,NA,NA,80,82,100,80,NA,525,87.5,VII,83,100
155,Cyndaquil,NA,NA,NA,39,52,43,65,NA,309,51.5,VII,60,50
156,Quilava,NA,NA,NA,58,64,58,80,NA,405,67.5,VII,80,65
157,Typhlosion,NA,NA,NA,78,84,78,100,NA,534,89,VII,109,85
158,Totodile,NA,NA,NA,50,65,64,43,NA,314,52.33,VII,44,48
159,Croconaw,NA,NA,NA,65,80,80,58,NA,405,67.5,VII,59,63
160,Feraligatr,NA,NA,NA,85,105,100,78,NA,530,88.33,VII,79,83
161,Sentret,NA,NA,NA,35,46,34,20,NA,215,35.83,VII,35,45
162,Furret,NA,NA,NA,85,76,64,90,NA,415,69.17,VII,45,55
163,Hoothoot,NA,NA,NA,60,30,30,50,NA,262,43.67,VII,36,56
164,Noctowl,NA,NA,NA,100,50,50,70,NA,452,75.33,VII,86,96
165,Ledyba,NA,NA,NA,40,20,30,55,NA,265,44.17,VII,40,80
166,Ledian,NA,NA,NA,55,35,50,85,NA,390,65,VII,55,110
167,Spinarak,NA,NA,NA,40,60,40,30,NA,250,41.67,VII,40,40
168,Ariados,NA,NA,NA,70,90,70,40,NA,400,66.67,VII,60,70
169,Crobat,NA,NA,NA,85,90,80,130,NA,535,89.17,VII,70,80
170,Chinchou,NA,NA,NA,75,38,38,67,NA,330,55,VII,56,56
171,Lanturn,NA,NA,NA,125,58,58,67,NA,460,76.67,VII,76,76
172,Pichu,NA,NA,NA,20,40,15,60,NA,205,34.17,VII,35,35
173,Cleffa,NA,NA,NA,50,25,28,15,NA,218,36.33,VII,45,55
174,Igglybuff,NA,NA,NA,90,30,15,15,NA,210,35,VII,40,20
175,Togepi,NA,NA,NA,35,20,65,20,NA,245,40.83,VII,40,65
176,Togetic,NA,NA,NA,55,40,85,40,NA,405,67.5,VII,80,105
177,Natu,NA,NA,NA,40,50,45,70,NA,320,53.33,VII,70,45
178,Xatu,NA,NA,NA,65,75,70,95,NA,470,78.33,VII,95,70
179,Mareep,NA,NA,NA,55,40,40,35,NA,280,46.67,VII,65,45
180,Flaaffy,NA,NA,NA,70,55,55,45,NA,365,60.83,VII,80,60
181,Ampharos,NA,NA,NA,90,75,85,55,NA,510,85,VII,115,90
181,Ampharos,NA,Mega,Mega Ampharos,90,95,105,45,NA,610,101.67,VII,165,110
182,Bellossom,NA,NA,NA,75,80,95,50,NA,490,81.67,VII,90,100
183,Marill,NA,NA,NA,70,20,50,40,NA,250,41.67,VII,20,50
184,Azumarill,NA,NA,NA,100,50,80,50,NA,420,70,VII,60,80
185,Sudowoodo,NA,NA,NA,70,100,115,30,NA,410,68.33,VII,30,65
186,Politoed,NA,NA,NA,90,75,75,70,NA,500,83.33,VII,90,100
187,Hoppip,NA,NA,NA,35,35,40,50,NA,250,41.67,VII,35,55
188,Skiploom,NA,NA,NA,55,45,50,80,NA,340,56.67,VII,45,65
189,Jumpluff,NA,NA,NA,75,55,70,110,NA,460,76.67,VII,55,95
190,Aipom,NA,NA,NA,55,70,55,85,NA,360,60,VII,40,55
191,Sunkern,NA,NA,NA,30,30,30,30,NA,180,30,VII,30,30
192,Sunflora,NA,NA,NA,75,75,55,30,NA,425,70.83,VII,105,85
193,Yanma,NA,NA,NA,65,65,45,95,NA,390,65,VII,75,45
194,Wooper,NA,NA,NA,55,45,45,15,NA,210,35,VII,25,25
195,Quagsire,NA,NA,NA,95,85,85,35,NA,430,71.67,VII,65,65
196,Espeon,NA,NA,NA,65,65,60,110,NA,525,87.5,VII,130,95
197,Umbreon,NA,NA,NA,95,65,110,65,NA,525,87.5,VII,60,130
198,Murkrow,NA,NA,NA,60,85,42,91,NA,405,67.5,VII,85,42
199,Slowking,NA,NA,NA,95,75,80,30,NA,490,81.67,VII,100,110
200,Misdreavus,NA,NA,NA,60,60,60,85,NA,435,72.5,VII,85,85
201,Unown,NA,NA,NA,48,72,48,48,NA,336,56,VII,72,48
202,Wobbuffet,NA,NA,NA,190,33,58,33,NA,405,67.5,VII,33,58
203,Girafarig,NA,NA,NA,70,80,65,85,NA,455,75.83,VII,90,65
204,Pineco,NA,NA,NA,50,65,90,15,NA,290,48.33,VII,35,35
205,Forretress,NA,NA,NA,75,90,140,40,NA,465,77.5,VII,60,60
206,Dunsparce,NA,NA,NA,100,70,70,45,NA,415,69.17,VII,65,65
207,Gligar,NA,NA,NA,65,75,105,85,NA,430,71.67,VII,35,65
208,Steelix,NA,NA,NA,75,85,200,30,NA,510,85,VII,55,65
208,Steelix,NA,Mega,Mega Steelix,75,125,230,30,NA,610,101.67,VII,55,95
209,Snubbull,NA,NA,NA,60,80,50,30,NA,300,50,VII,40,40
210,Granbull,NA,NA,NA,90,120,75,45,NA,450,75,VII,60,60
211,Qwilfish,NA,NA,NA,65,95,85,85,NA,440,73.33,VII,55,55
212,Scizor,NA,NA,NA,70,130,100,65,NA,500,83.33,VII,55,80
212,Scizor,NA,Mega,Mega Scizor,70,150,140,75,NA,600,100,VII,65,100
213,Shuckle,NA,NA,NA,20,10,230,5,NA,505,84.17,VII,10,230
214,Heracross,NA,NA,NA,80,125,75,85,NA,500,83.33,VII,40,95
214,Heracross,NA,Mega,Mega Heracross,80,185,115,75,NA,600,100,VII,40,105
215,Sneasel,NA,NA,NA,55,95,55,115,NA,430,71.67,VII,35,75
216,Teddiursa,NA,NA,NA,60,80,50,40,NA,330,55,VII,50,50
217,Ursaring,NA,NA,NA,90,130,75,55,NA,500,83.33,VII,75,75
218,Slugma,NA,NA,NA,40,40,40,20,NA,250,41.67,VII,70,40
219,Magcargo,NA,NA,NA,60,50,120,30,NA,430,71.67,VII,90,80
220,Swinub,NA,NA,NA,50,50,40,50,NA,250,41.67,VII,30,30
221,Piloswine,NA,NA,NA,100,100,80,50,NA,450,75,VII,60,60
222,Corsola,NA,NA,NA,65,55,95,35,NA,410,68.33,VII,65,95
223,Remoraid,NA,NA,NA,35,65,35,65,NA,300,50,VII,65,35
224,Octillery,NA,NA,NA,75,105,75,45,NA,480,80,VII,105,75
225,Delibird,NA,NA,NA,45,55,45,75,NA,330,55,VII,65,45
226,Mantine,NA,NA,NA,85,40,70,70,NA,485,80.83,VII,80,140
227,Skarmory,NA,NA,NA,65,80,140,70,NA,465,77.5,VII,40,70
228,Houndour,NA,NA,NA,45,60,30,65,NA,330,55,VII,80,50
229,Houndoom,NA,NA,NA,75,90,50,95,NA,500,83.33,VII,110,80
229,Houndoom,NA,Mega,Mega Houndoom,75,90,90,115,NA,600,100,VII,140,90
230,Kingdra,NA,NA,NA,75,95,95,85,NA,540,90,VII,95,95
231,Phanpy,NA,NA,NA,90,60,60,40,NA,330,55,VII,40,40
232,Donphan,NA,NA,NA,90,120,120,50,NA,500,83.33,VII,60,60
233,Porygon2,NA,NA,NA,85,80,90,60,NA,515,85.83,VII,105,95
234,Stantler,NA,NA,NA,73,95,62,85,NA,465,77.5,VII,85,65
235,Smeargle,NA,NA,NA,55,20,35,75,NA,250,41.67,VII,20,45
236,Tyrogue,NA,NA,NA,35,35,35,35,NA,210,35,VII,35,35
237,Hitmontop,NA,NA,NA,50,95,95,70,NA,455,75.83,VII,35,110
238,Smoochum,NA,NA,NA,45,30,15,65,NA,305,50.83,VII,85,65
239,Elekid,NA,NA,NA,45,63,37,95,NA,360,60,VII,65,55
240,Magby,NA,NA,NA,45,75,37,83,NA,365,60.83,VII,70,55
241,Miltank,NA,NA,NA,95,80,105,100,NA,490,81.67,VII,40,70
242,Blissey,NA,NA,NA,255,10,10,55,NA,540,90,VII,75,135
243,Raikou,NA,NA,NA,90,85,75,115,NA,580,96.67,VII,115,100
244,Entei,NA,NA,NA,115,115,85,100,NA,580,96.67,VII,90,75
245,Suicune,NA,NA,NA,100,75,115,85,NA,580,96.67,VII,90,115
246,Larvitar,NA,NA,NA,50,64,50,41,NA,300,50,VII,45,50
247,Pupitar,NA,NA,NA,70,84,70,51,NA,410,68.33,VII,65,70
248,Tyranitar,NA,NA,NA,100,134,110,61,NA,600,100,VII,95,100
248,Tyranitar,NA,Mega,Mega Tyranitar,100,164,150,71,NA,700,116.67,VII,95,120
249,Lugia,NA,NA,NA,106,90,130,110,NA,680,113.33,VII,90,154
250,Ho-Oh,NA,NA,NA,106,130,90,90,NA,680,113.33,VII,110,154
251,Celebi,NA,NA,NA,100,100,100,100,NA,600,100,VII,100,100
252,Treecko,NA,NA,NA,40,45,35,70,NA,310,51.67,VII,65,55
253,Grovyle,NA,NA,NA,50,65,45,95,NA,405,67.5,VII,85,65
254,Sceptile,NA,NA,NA,70,85,65,120,NA,530,88.33,VII,105,85
254,Sceptile,NA,Mega,Mega Sceptile,70,110,75,145,NA,630,105,VII,145,85
255,Torchic,NA,NA,NA,45,60,40,45,NA,310,51.67,VII,70,50
256,Combusken,NA,NA,NA,60,85,60,55,NA,405,67.5,VII,85,60
257,Blaziken,NA,NA,NA,80,120,70,80,NA,530,88.33,VII,110,70
257,Blaziken,NA,Mega,Mega Blaziken,80,160,80,100,NA,630,105,VII,130,80
258,Mudkip,NA,NA,NA,50,70,50,40,NA,310,51.67,VII,50,50
259,Marshtomp,NA,NA,NA,70,85,70,50,NA,405,67.5,VII,60,70
260,Swampert,NA,NA,NA,100,110,90,60,NA,535,89.17,VII,85,90
260,Swampert,NA,Mega,Mega Swampert,100,150,110,70,NA,635,105.83,VII,95,110
261,Poochyena,NA,NA,NA,35,55,35,35,NA,220,36.67,VII,30,30
262,Mightyena,NA,NA,NA,70,90,70,70,NA,420,70,VII,60,60
263,Zigzagoon,NA,NA,NA,38,30,41,60,NA,240,40,VII,30,41
264,Linoone,NA,NA,NA,78,70,61,100,NA,420,70,VII,50,61
265,Wurmple,NA,NA,NA,45,45,35,20,NA,195,32.5,VII,20,30
266,Silcoon,NA,NA,NA,50,35,55,15,NA,205,34.17,VII,25,25
267,Beautifly,NA,NA,NA,60,70,50,65,NA,395,65.83,VII,100,50
268,Cascoon,NA,NA,NA,50,35,55,15,NA,205,34.17,VII,25,25
269,Dustox,NA,NA,NA,60,50,70,65,NA,385,64.17,VII,50,90
270,Lotad,NA,NA,NA,40,30,30,30,NA,220,36.67,VII,40,50
271,Lombre,NA,NA,NA,60,50,50,50,NA,340,56.67,VII,60,70
272,Ludicolo,NA,NA,NA,80,70,70,70,NA,480,80,VII,90,100
273,Seedot,NA,NA,NA,40,40,50,30,NA,220,36.67,VII,30,30
274,Nuzleaf,NA,NA,NA,70,70,40,60,NA,340,56.67,VII,60,40
275,Shiftry,NA,NA,NA,90,100,60,80,NA,480,80,VII,90,60
276,Taillow,NA,NA,NA,40,55,30,85,NA,270,45,VII,30,30
277,Swellow,NA,NA,NA,60,85,60,125,NA,455,75.83,VII,75,50
278,Wingull,NA,NA,NA,40,30,30,85,NA,270,45,VII,55,30
279,Pelipper,NA,NA,NA,60,50,100,65,NA,440,73.33,VII,95,70
280,Ralts,NA,NA,NA,28,25,25,40,NA,198,33,VII,45,35
281,Kirlia,NA,NA,NA,38,35,35,50,NA,278,46.33,VII,65,55
282,Gardevoir,NA,NA,NA,68,65,65,80,NA,518,86.33,VII,125,115
282,Gardevoir,NA,Mega,Mega Gardevoir,68,85,65,100,NA,618,103,VII,165,135
283,Surskit,NA,NA,NA,40,30,32,65,NA,269,44.83,VII,50,52
284,Masquerain,NA,NA,NA,70,60,62,80,NA,454,75.67,VII,100,82
285,Shroomish,NA,NA,NA,60,40,60,35,NA,295,49.17,VII,40,60
286,Breloom,NA,NA,NA,60,130,80,70,NA,460,76.67,VII,60,60
287,Slakoth,NA,NA,NA,60,60,60,30,NA,280,46.67,VII,35,35
288,Vigoroth,NA,NA,NA,80,80,80,90,NA,440,73.33,VII,55,55
289,Slaking,NA,NA,NA,150,160,100,100,NA,670,111.67,VII,95,65
290,Nincada,NA,NA,NA,31,45,90,40,NA,266,44.33,VII,30,30
291,Ninjask,NA,NA,NA,61,90,45,160,NA,456,76,VII,50,50
292,Shedinja,NA,NA,NA,1,90,45,40,NA,236,39.33,VII,30,30
293,Whismur,NA,NA,NA,64,51,23,28,NA,240,40,VII,51,23
294,Loudred,NA,NA,NA,84,71,43,48,NA,360,60,VII,71,43
295,Exploud,NA,NA,NA,104,91,63,68,NA,490,81.67,VII,91,73
296,Makuhita,NA,NA,NA,72,60,30,25,NA,237,39.5,VII,20,30
297,Hariyama,NA,NA,NA,144,120,60,50,NA,474,79,VII,40,60
298,Azurill,NA,NA,NA,50,20,40,20,NA,190,31.67,VII,20,40
299,Nosepass,NA,NA,NA,30,45,135,30,NA,375,62.5,VII,45,90
300,Skitty,NA,NA,NA,50,45,45,50,NA,260,43.33,VII,35,35
301,Delcatty,NA,NA,NA,70,65,65,90,NA,400,66.67,VII,55,55
302,Sableye,NA,NA,NA,50,75,75,50,NA,380,63.33,VII,65,65
302,Sableye,NA,Mega,Mega Sableye,50,85,125,20,NA,480,80,VII,85,115
303,Mawile,NA,NA,NA,50,85,85,50,NA,380,63.33,VII,55,55
303,Mawile,NA,Mega,Mega Mawile,50,105,125,50,NA,480,80,VII,55,95
304,Aron,NA,NA,NA,50,70,100,30,NA,330,55,VII,40,40
305,Lairon,NA,NA,NA,60,90,140,40,NA,430,71.67,VII,50,50
306,Aggron,NA,NA,NA,70,110,180,50,NA,530,88.33,VII,60,60
306,Aggron,NA,Mega,Mega Aggron,70,140,230,50,NA,630,105,VII,60,80
307,Meditite,NA,NA,NA,30,40,55,60,NA,280,46.67,VII,40,55
308,Medicham,NA,NA,NA,60,60,75,80,NA,410,68.33,VII,60,75
308,Medicham,NA,Mega,Mega Medicham,60,100,85,100,NA,510,85,VII,80,85
309,Electrike,NA,NA,NA,40,45,40,65,NA,295,49.17,VII,65,40
310,Manectric,NA,NA,NA,70,75,60,105,NA,475,79.17,VII,105,60
310,Manectric,NA,Mega,Mega Manectric,70,75,80,135,NA,575,95.83,VII,135,80
311,Plusle,NA,NA,NA,60,50,40,95,NA,405,67.5,VII,85,75
312,Minun,NA,NA,NA,60,40,50,95,NA,405,67.5,VII,75,85
313,Volbeat,NA,NA,NA,65,73,75,85,NA,430,71.67,VII,47,85
314,Illumise,NA,NA,NA,65,47,75,85,NA,430,71.67,VII,73,85
315,Roselia,NA,NA,NA,50,60,45,65,NA,400,66.67,VII,100,80
316,Gulpin,NA,NA,NA,70,43,53,40,NA,302,50.33,VII,43,53
317,Swalot,NA,NA,NA,100,73,83,55,NA,467,77.83,VII,73,83
318,Carvanha,NA,NA,NA,45,90,20,65,NA,305,50.83,VII,65,20
319,Sharpedo,NA,NA,NA,70,120,40,95,NA,460,76.67,VII,95,40
319,Sharpedo,NA,Mega,Mega Sharpedo,70,140,70,105,NA,560,93.33,VII,110,65
320,Wailmer,NA,NA,NA,130,70,35,60,NA,400,66.67,VII,70,35
321,Wailord,NA,NA,NA,170,90,45,60,NA,500,83.33,VII,90,45
322,Numel,NA,NA,NA,60,60,40,35,NA,305,50.83,VII,65,45
323,Camerupt,NA,NA,NA,70,100,70,40,NA,460,76.67,VII,105,75
323,Camerupt,NA,Mega,Mega Camerupt,70,120,100,20,NA,560,93.33,VII,145,105
324,Torkoal,NA,NA,NA,70,85,140,20,NA,470,78.33,VII,85,70
325,Spoink,NA,NA,NA,60,25,35,60,NA,330,55,VII,70,80
326,Grumpig,NA,NA,NA,80,45,65,80,NA,470,78.33,VII,90,110
327,Spinda,NA,NA,NA,60,60,60,60,NA,360,60,VII,60,60
328,Trapinch,NA,NA,NA,45,100,45,10,NA,290,48.33,VII,45,45
329,Vibrava,NA,NA,NA,50,70,50,70,NA,340,56.67,VII,50,50
330,Flygon,NA,NA,NA,80,100,80,100,NA,520,86.67,VII,80,80
331,Cacnea,NA,NA,NA,50,85,40,35,NA,335,55.83,VII,85,40
332,Cacturne,NA,NA,NA,70,115,60,55,NA,475,79.17,VII,115,60
333,Swablu,NA,NA,NA,45,40,60,50,NA,310,51.67,VII,40,75
334,Altaria,NA,NA,NA,75,70,90,80,NA,490,81.67,VII,70,105
334,Altaria,NA,Mega,Mega Altaria,75,110,110,80,NA,590,98.33,VII,110,105
335,Zangoose,NA,NA,NA,73,115,60,90,NA,458,76.33,VII,60,60
336,Seviper,NA,NA,NA,73,100,60,65,NA,458,76.33,VII,100,60
337,Lunatone,NA,NA,NA,90,55,65,70,NA,460,76.67,VII,95,85
338,Solrock,NA,NA,NA,90,95,85,70,NA,460,76.67,VII,55,65
339,Barboach,NA,NA,NA,50,48,43,60,NA,288,48,VII,46,41
340,Whiscash,NA,NA,NA,110,78,73,60,NA,468,78,VII,76,71
341,Corphish,NA,NA,NA,43,80,65,35,NA,308,51.33,VII,50,35
342,Crawdaunt,NA,NA,NA,63,120,85,55,NA,468,78,VII,90,55
343,Baltoy,NA,NA,NA,40,40,55,55,NA,300,50,VII,40,70
344,Claydol,NA,NA,NA,60,70,105,75,NA,500,83.33,VII,70,120
345,Lileep,NA,NA,NA,66,41,77,23,NA,355,59.17,VII,61,87
346,Cradily,NA,NA,NA,86,81,97,43,NA,495,82.5,VII,81,107
347,Anorith,NA,NA,NA,45,95,50,75,NA,355,59.17,VII,40,50
348,Armaldo,NA,NA,NA,75,125,100,45,NA,495,82.5,VII,70,80
349,Feebas,NA,NA,NA,20,15,20,80,NA,200,33.33,VII,10,55
350,Milotic,NA,NA,NA,95,60,79,81,NA,540,90,VII,100,125
351,Castform,NA,NA,NA,70,70,70,70,NA,420,70,VII,70,70
352,Kecleon,NA,NA,NA,60,90,70,40,NA,440,73.33,VII,60,120
353,Shuppet,NA,NA,NA,44,75,35,45,NA,295,49.17,VII,63,33
354,Banette,NA,NA,NA,64,115,65,65,NA,455,75.83,VII,83,63
354,Banette,NA,Mega,Mega Banette,64,165,75,75,NA,555,92.5,VII,93,83
355,Duskull,NA,NA,NA,20,40,90,25,NA,295,49.17,VII,30,90
356,Dusclops,NA,NA,NA,40,70,130,25,NA,455,75.83,VII,60,130
357,Tropius,NA,NA,NA,99,68,83,51,NA,460,76.67,VII,72,87
358,Chimecho,NA,NA,NA,75,50,80,65,NA,455,75.83,VII,95,90
359,Absol,NA,NA,NA,65,130,60,75,NA,465,77.5,VII,75,60
359,Absol,NA,Mega,Mega Absol,65,150,60,115,NA,565,94.17,VII,115,60
360,Wynaut,NA,NA,NA,95,23,48,23,NA,260,43.33,VII,23,48
361,Snorunt,NA,NA,NA,50,50,50,50,NA,300,50,VII,50,50
362,Glalie,NA,NA,NA,80,80,80,80,NA,480,80,VII,80,80
362,Glalie,NA,Mega,Mega Glalie,80,120,80,100,NA,580,96.67,VII,120,80
363,Spheal,NA,NA,NA,70,40,50,25,NA,290,48.33,VII,55,50
364,Sealeo,NA,NA,NA,90,60,70,45,NA,410,68.33,VII,75,70
365,Walrein,NA,NA,NA,110,80,90,65,NA,530,88.33,VII,95,90
366,Clamperl,NA,NA,NA,35,64,85,32,NA,345,57.5,VII,74,55
367,Huntail,NA,NA,NA,55,104,105,52,NA,485,80.83,VII,94,75
368,Gorebyss,NA,NA,NA,55,84,105,52,NA,485,80.83,VII,114,75
